sciname,obis_occ
Laticauda laticaudata,18
Ctenochaetus strigosus,8189
Naso lituratus,7813
Naso tonganus,315
Prionurus scalprum,44
Acanthurus coeruleus,14539
Naso reticulatus,5
Ctenochaetus binotatus,676
Acanthurus maculiceps,229
Ctenochaetus cyanocheilus,3070
Acanthurus fowleri,2
Acanthurus achilles,1521
Acanthurus nubilus,50
Naso fageni,27
Naso mcdadei,11
Ctenochaetus marginatus,1772
Acanthurus triostegus,4919
Acanthurus mata,365
Naso caeruleacauda,35
Acanthurus nigricans,7729
Naso unicornis,6474
Acanthurus blochii,2488
Paracanthurus hepatus,222
Zebrasoma gemmatum,26
Acanthurus auranticavus,155
Naso minor,74
Acanthurus reversus,1
Acanthurus japonicus,20
Naso lopezi,30
Naso thynnoides,98
Acanthurus dussumieri,2464
Acanthurus chirurgus,3957
Naso brachycentron,83
Acanthurus polyzona,21
Acanthurus bahianus,11392
Ctenochaetus tominiensis,31
Acanthurus sohal,25
Naso annulatus,145
Acanthurus xanthopterus,1069
Naso brevirostris,1127
Acanthurus olivaceus,4918
Ctenochaetus truncatus,165
Acanthurus lineatus,3172
Acanthurus leucocheilus,137
Acanthurus guttatus,240
Acanthurus tennentii,64
Acanthurus tristis,17
Acanthurus nigroris,5589
Acanthurus leucosternon,185
Zebrasoma rostratum,280
Naso hexacanthus,1956
Naso tuberosus,986
Naso elegans,3
Zebrasoma scopas,3814
Acanthurus grammoptilus,374
Acanthurus albipectoralis,146
Acanthurus thompsoni,870
Zebrasoma xanthurum,47
Zebrasoma veliferum,2435
Acanthurus leucopareius,1711
Ctenochaetus striatus,8294
Naso caesius,117
Ctenochaetus hawaiiensis,690
Zebrasoma flavescens,2713
Prionurus microlepidotus,64
Acanthurus nigricauda,873
Ctenochaetus flavicauda,595
Acanthurus nigrofuscus,13362
Naso maculatus,18
Prionurus biafraensis,1
Acanthurus pyroferus,1014
Acanthurus monroviae,705
Zebrasoma desjardinii,27
Prionurus maculatus,29
Roa australis,79
Ecsenius dilemma,9
Ecsenius kurti,9
Istiblennius colei,3
Holothuria hilla,130
Holothuria difficilis,40
Pearsonothuria graeffei,177
Holothuria scabra,NA
Actinopyga miliaris,45
Actinopyga lecanora,28
Holothuria pardalis,78
Parastichopus regalis,615
Isostichopus macroparentheses,2
Thelenota anax,29
Holothuria nobilis,NA
Actinopyga mauritiana,760
Bohadschia vitiensis,27
Actinopyga agassizi,15
Isostichopus fuscus,11185
Holothuria leucospilota,NA
Pseudostichopus mollis,363
Bohadschia similis,NA
Holothuria edulis,NA
Actinopyga palauensis,7
Bohadschia marmorata,42
Holothuria fuscopunctata,130
Holothuria atra,1936
Apostichopus japonicus,2
Parastichopus californicus,300
Holothuria arenicola,99
Holothuria rigida,NA
Holothuria tubulosa,NA
Stichopus chloronotus,772
Thelenota ananas,114
Stichopus horrens,368
Holothuria mexicana,NA
Holothuria fuscocinerea,4
Holothuria cinerascens,NA
Holothuria impatiens,264
Bathyplotes moseleyi,68
Actinopyga echinites,113
Isostichopus badionotus,154
Holothuria pervicax,7
Actinopyga caerulea,1
Holothuria inhabilis,NA
Bohadschia argus,188
Elops lacerta,685
Scartichthys viridis,11
Scartichthys gigas,48
Sphoeroides lobatus,197
Ophioblennius steindachneri,839
Prionurus laticlavius,240
Semicossyphus darwini,389
Canthigaster punctatissima,545
Hypsypops rubicundus,95
Halichoeres chierchiae,126
Abudefduf troschelii,698
Hypsoblennius brevipinnis,237
Stegastes acapulcoensis,320
Chromis limbaughi,41
Abudefduf declivifrons,89
Stegastes beebei,263
Scarus compressus,104
Microspathodon bairdii,164
Abudefduf concolor,131
Halichoeres aestuaricola,44
Stegastes arcifrons,224
Bodianus eclancheri,120
Stegastes redemptus,22
Stegastes rectifraenum,320
Sphoeroides rosenblatti,49
Sphoeroides lispus,68
Hypsoblennius gentilis,205
Bodianus diplotaenia,672
Prionurus punctatus,160
Sphoeroides annulatus,731
Chromis atrilobata,433
Scartichthys variolatus,12
Halichoeres melanotis,55
Stegastes flavilatus,384
Xyrichtys mundiceps,15
Halichoeres adustus,20
Azurina hirundo,12
Nexilosus latifrons,65
Chromis intercrusma,17
Nicholsina denticulata,183
Halichoeres semicinctus,105
Halichoeres dispilus,560
Microspathodon dorsalis,357
Scarus perrico,185
Chromis alta,56
Entomacrodus chiostictus,130
Decodon melasma,114
Sphoeroides angusticeps,38
Stegastes leucorus,64
Plagiotremus azaleus,487
Thalassoma grammaticum,102
Azurina eupalama,28
Sphoeroides sechurae,61
Halichoeres nicholsi,383
Elops affinis,92
Galearctus rapanus,4
Galearctus umbilicatus,NA
Eduarctus lewinsohni,NA
Stereomastis panglao,NA
Eduarctus modestus,23
Ibacus pubescens,18
Stereomastis polita,15
Enoplometopus gracilipes,5
Stereomastis sculpta,1623
Petrarctus demani,106
Pentacheles gibbus,NA
Polycheles enthrix,67
Crenarctus crenatus,338
Stereomastis surda,31
Enoplometopus holthuisi,4
Nupalirus vericeli,NA
Polycheles typhlops,549
Thaumastocheles dochmiodon,1
Acantharctus ornatus,1
Polycheles amemiyai,1
Bathyarctus rubens,34
Stereomastis suhmi,44
Pentacheles laevis,155
Stereomastis helleri,14
Chelarctus aureus,9
Polycheles martini,4
Enoplometopus crosnieri,3
Enoplometopus occidentalis,9
Pentacheles snyderi,2
Galearctus timidus,24
Stereomastis auriculata,38
Nephropsis serrata,51
Polycheles coccifer,36
Polycheles tanneri,4
Stereomastis galil,10
Petrarctus holthuisi,NA
Stereomastis phosphorus,38
Stereomastis aculeata,51
Galearctus kitanoviriosus,24
Galearctus aurora,4
Bathyarctus faxoni,16
Chelarctus cultrifer,19
Willemoesia pacifica,4
Polycheles baccatus,38
Eduarctus reticulatus,6
Biarctus pumilus,NA
Pentacheles obscurus,6
Crenarctus bicuspidatus,19
Eduarctus aesopius,4
Parablennius gattorugine,2873
Acantholabrus palloni,40
Bodianus dictynna,3
Halichoeres pardaleocephalus,4
Choerodon margaritiferus,3
Coris nigrotaenia,5
Hemigymnus fasciatus,3904
Leptojulis lambdastigma,15
Bodianus opercularis,11
Coris variegata,60
Thalassoma lunare,947
Cheilio inermis,333
Cheilinus chlorourus,428
Cirrhilabrus tonozukai,1
Suezichthys caudavittatus,4
Bodianus thoracotaeniatus,1
Paracheilinus mccoskeri,31
Coris pictoides,57
Iniistius aneitensis,20
Labroides dimidiatus,5235
Labrus mixtus,4513
Labrus bergylta,7751
Iniistius umbrilatus,2
Choerodon vitta,397
Halichoeres dimidiatus,10
Paracheilinus filamentosus,23
Halichoeres caudalis,80
Hologymnosus longipes,9
Wetmorella nigropinnata,431
Ophthalmolepis lineolata,322
Cirrhilabrus marjorie,5
Iniistius pentadactylus,67
Iniistius trivittatus,4
Paracheilinus attenuatus,4
Macropharyngodon kuiteri,18
Cirrhilabrus earlei,10
Macropharyngodon bipartitus,76
Coris batuensis,105
Thalassoma pavo,719
Choerodon zamboangae,18
Paracheilinus walton,1
Thalassoma loxum,9
Oxycheilinus orientalis,102
Stethojulis bandanensis,995
Conniella apterygia,NA
Notolabrus tetricus,103
Cirrhilabrus bathyphilus,13
Halichoeres leucoxanthus,29
Choerodon cephalotes,773
Pteragogus cryptus,108
Halichoeres bleekeri,4
Stethojulis marquesensis,3
Coris gaimard,1919
Halichoeres prosopeion,136
Cirrhilabrus laboutei,15
Cirrhilabrus condei,7
Novaculichthys taeniourus,424
Halichoeres margaritaceus,1142
Halichoeres pictus,290
Thalassoma cupido,46
Cirrhilabrus jordani,31
Tautogolabrus adspersus,7638
Coris dorsomacula,79
Halichoeres argus,165
Cirrhilabrus katherinae,426
Anampses elegans,42
Halichoeres scapularis,369
Symphodus trutta,NA
Doratonotus megalepis,117
Cirrhilabrus brunneus,1
Cirrhilabrus exquisitus,504
Pseudojuloides mesostigma,1
Leptojulis urostigma,3
Halichoeres stigmaticus,4
Oxycheilinus digramma,659
Halichoeres cosmetus,213
Xyrichtys koteamea,NA
Choerodon gymnogenys,33
Pseudocoris bleekeri,2
Halichoeres vrolikii,54
Halichoeres trimaculatus,637
Symphodus mediterraneus,171
Hemigymnus melapterus,2939
Pseudocheilinus hexataenia,3397
Halichoeres leucurus,34
Tautoga onitis,369
Pseudolabrus miles,219
Halichoeres bivittatus,11932
Cirrhilabrus melanomarginatus,17
Cirrhilabrus solorensis,9
Suezichthys notatus,11
Stethojulis strigiventer,468
Thalassoma amblycephalum,2292
Austrolabrus maculatus,33
Symphodus ocellatus,97
Bodianus speciosus,736
Paracheilinus cyaneus,1
Bodianus scrofa,98
Cheilinus abudjubbe,6
Labropsis xanthonota,748
Coris ballieui,117
Choerodon zosterophorus,5
Cirrhilabrus randalli,2
Cirrhilabrus flavidorsalis,14
Bodianus frenchii,6
Halichoeres richmondi,2
Choerodon fasciatus,2426
Halichoeres cyanocephalus,90
Paracheilinus carpenteri,26
Halichoeres podostigma,16
Bodianus axillaris,545
Diproctacanthus xanthurus,75
Cirrhilabrus luteovittatus,5
Pictilabrus laticlavius,119
Achoerodus gouldii,65
Symphodus bailloni,69
Oxycheilinus bimaculatus,1825
Thalassoma rueppellii,35
Terelabrus rubrovittatus,3
Larabicus quadrilineatus,21
Hologymnosus doliatus,178
Bodianus paraleucosticticus,NA
Cymolutes torquatus,31
Halichoeres raisneri,2
Pseudolabrus guentheri,140
Halichoeres zeylonicus,27
Notolabrus parilus,25
Gomphosus varius,9579
Halichoeres orientalis,1
Cirrhilabrus roseafascia,NA
Iniistius twistii,14
Labrus merula,221
Cirrhilabrus cenderawasih,1
Cirrhilabrus cyanopleura,153
Halichoeres timorensis,78
Clepticus parrae,1333
Pseudocoris yamashiroi,55
Halichoeres nebulosus,228
Halichoeres maculipinna,4115
Hemigymnus sexfasciatus,NA
Bodianus vulpinus,189
Bodianus bilunulatus,5057
Anampses chrysocephalus,283
Thalassoma hardwicke,753
Paracheilinus lineopunctatus,9
Halichoeres solorensis,6
Suezichthys gracilis,119
Stethojulis interrupta,486
Halichoeres melasmapomus,123
Halichoeres biocellatus,902
Notolabrus cinctus,72
Anampses lennardi,170
Choerodon oligacanthus,5
Gomphosus caeruleus,225
Bodianus pulchellus,131
Bodianus prognathus,181
Symphodus rostratus,84
Suezichthys soelae,13
Labroides pectoralis,88
Bodianus sepiacaudus,NA
Oxycheilinus nigromarginatus,7
Choerodon anchorago,171
Cirrhilabrus pylei,4
Cirrhilabrus rubrisquamis,2
Bodianus cylindriatus,12
Halichoeres poeyi,1070
Halichoeres signifer,4
Pseudojuloides atavai,158
Bodianus diana,251
Suezichthys aylingi,61
Halichoeres iridis,68
Iniistius auropunctatus,3
Pseudocheilinops ataenia,27
Symphodus caeruleus,NA
Cirrhilabrus balteatus,5
Bodianus rubrisos,2
Halichoeres bicolor,43
Cirrhilabrus scottorum,21
Halichoeres nigrescens,274
Thalassoma ballieui,5316
Coris flavovittata,855
Coris roseoviridis,10
Pteragogus enneacanthus,38
Cirrhilabrus lubbocki,65
Iniistius celebicus,1
Pseudocoris ocellata,4
Choerodon jordani,39
Decodon puellaris,99
Cirrhilabrus lunatus,8
Cheilinus lunulatus,27
Labropsis manabei,11
Pseudocheilinus octotaenia,3429
Epibulus brevis,NA
Iniistius dea,56
Halichoeres chrysus,91
Pteragogus guttatus,10
Hologymnosus rhodonotus,8
Xyrichtys pastellus,NA
Pictilabrus viridis,13
Labrichthys unilineatus,299
Stethojulis albovittata,261
Notolabrus gymnogenis,99
Halichoeres miniatus,118
Paracheilinus flavianalis,3
Cirrhilabrus temminckii,43
Bodianus bimaculatus,46
Anampses lineatus,101
Coris cuvieri,90
Pseudolabrus mortonii,NA
Bodianus insularis,5
Cirrhilabrus lanceolatus,NA
Pseudojuloides severnsi,7
Bodianus mesothorax,167
Choerodon melanostigma,1
Bodianus macrourus,30
Cheilinus oxycephalus,465
Bodianus flavipinnis,7
Pteragogus pelycus,51
Thalassoma bifasciatum,14518
Symphodus roissali,172
Labrus viridis,167
Iniistius melanopus,8
Paracheilinus angulatus,2
Iniistius griffithsi,1
Pseudocheilinus evanidus,1751
Coris hewetti,6
Notolabrus celidotus,921
Coris formosa,100
Pseudocheilinus dispilus,6
Macropharyngodon cyanoguttatus,17
Xyrichtys splendens,577
Bodianus rufus,2482
Halichoeres hortulanus,4962
Oxycheilinus unifasciatus,3335
Labropsis australis,67
Halichoeres melanurus,269
Lappanella fasciata,45
Coris picta,80
Macropharyngodon geoffroy,2539
Cymolutes praetextatus,47
Bodianus macrognathos,8
Pteragogus flagellifer,156
Thalassoma lutescens,3767
Halichoeres chlorocephalus,2
Pseudocoris heteroptera,31
Stethojulis trilineata,272
Bodianus leucosticticus,24
Halichoeres lapillus,50
Macropharyngodon meleagris,1418
Thalassoma nigrofasciatum,29
Halichoeres melanochir,108
Xyrichtys novacula,1182
Bodianus masudai,6
Hologymnosus annulatus,120
Halichoeres claudia,NA
Xenojulis margaritaceus,4
Labropsis alleni,3
Iniistius pavo,160
Thalassoma trilobatum,567
Anampses geographicus,89
Thalassoma duperrey,20151
Pseudodax moluccanus,229
Symphodus cinereus,111
Bodianus anthioides,62
Anampses caeruleopunctatus,587
Oxycheilinus arenatus,37
Clepticus brasiliensis,9
Choerodon sugillatum,860
Bodianus izuensis,12
Epibulus insidiator,4591
Anampses meleagrides,137
Halichoeres garnoti,9319
Polylepion cruentum,6
Cirrhilabrus rubriventralis,32
Iniistius bimaculatus,4
Labropsis micronesica,6
Coris aurilineata,33
Stethojulis notialis,40
Iniistius baldwini,13
Halichoeres brasiliensis,47
Thalassoma quinquevittatum,7593
Oxycheilinus mentalis,20
Halichoeres radiatus,1263
Oxycheilinus lineatus,NA
Stethojulis terina,27
Cheilinus fasciatus,2521
Pseudocheilinus tetrataenia,1712
Pseudocheilinus citrinus,5
Cirrhilabrus beauperryi,NA
Bodianus loxozonus,305
Thalassoma purpureum,1089
Choerodon robustus,65
Symphodus melops,7236
Leptojulis chrysotaenia,NA
Halichoeres trispilus,8
Ctenolabrus rupestris,12273
Coris julis,1585
Bodianus trilineatus,13
Cymolutes lecluse,39
Labroides rubrolabiatus,1451
Symphodus melanocercus,29
Paracheilinus nursalim,1
Anampses cuvier,960
Anampses neoguinaicus,84
Oxycheilinus celebicus,152
Novaculichthys macrolepidotus,126
Paracheilinus bellae,6
Halichoeres kallochroma,15
Labroides bicolor,820
Macropharyngodon ornatus,31
Cirrhilabrus punctatus,249
Cirrhilabrus walindi,6
Macropharyngodon negrosensis,37
Symphodus doderleini,14
Polylepion russelli,5
Thalassoma hebraicum,284
Thalassoma jansenii,131
Bodianus perditio,160
Xyrichtys halsteadi,4
Halichoeres hartzfeldii,47
Anampses twistii,464
Coris venusta,3703
Halichoeres pallidus,7
Thalassoma noronhanum,15
Cirrhilabrus joanallenae,3
Halichoeres leptotaenia,7
Paracheilinus rubricaudalis,4
Coris centralis,172
Macropharyngodon moyeri,2
Choerodon monostigma,528
Pteragogus taeniops,26
Leptojulis cyanopleura,61
Cirrhilabrus adornatus,14
Stethojulis balteata,5579
Cirrhilabrus rubrimarginatus,20
Coris aygula,977
Centrolabrus exoletus,1768
Bodianus oxycephalus,19
Symphodus tinca,418
Bodianus flavifrons,10
Anampses femininus,10
Xiphocheilus typus,92
Halichoeres chloropterus,110
Bodianus unimaculatus,99
Suezichthys arquatus,44
Leptojulis polylepis,1
Haletta semifasciata,190
Heteroscarus acroptilus,NA
Neoodax balteatus,230
Olisthops cyanomelas,126
Siphonognathus caninis,NA
Siphonognathus argyrophanes,70
Siphonognathus attenuatus,17
Siphonognathus radiatus,30
Siphonognathus tanyourus,5
Calotomus spinidens,197
Calotomus japonicus,9
Calotomus zonarchus,279
Calotomus carolinus,801
Cetoscarus bicolor,402
Cetoscarus ocellatus,1051
Chlorurus enneacanthus,37
Scarus collana,6
Scarus globiceps,2604
Scarus flavipectoralis,1640
Chlorurus capistratoides,6
Scarus vetula,1835
Chlorurus atrilunula,17
Scarus scaber,86
Nicholsina collettei,NA
Scarus fuscocaudalis,13
Scarus hoefleri,671
Scarus tricolor,384
Scarus ghobban,2096
Scarus russelii,64
Scarus chameleon,2732
Scarus quoyi,37
Scarus coeruleus,405
Sparisoma cretense,1075
Chlorurus bowersi,16
Sparisoma radians,1024
Scarus spinus,2187
Scarus fuscopurpureus,12
Chlorurus sordidus,12632
Scarus rivulatus,2235
Chlorurus perspicillatus,7524
Chlorurus japanensis,610
Scarus coelestinus,403
Sparisoma rubripinne,2207
Scarus falcipinnis,40
Sparisoma amplum,23
Sparisoma frondosum,88
Scarus xanthopleura,67
Scarus altipinnis,2008
Chlorurus microrhinos,5092
Sparisoma aurofrenatum,15436
Scarus rubroviolaceus,6243
Scarus iseri,16895
Hipposcarus harid,80
Sparisoma viride,10572
Scarus maculipinna,1
Scarus psittacus,4448
Sparisoma chrysopterum,1515
Scarus dimidiatus,125
Scarus niger,3691
Chlorurus troschelii,15
Chlorurus strongylocephalus,30
Scarus ovifrons,26
Chlorurus bleekeri,373
Hipposcarus longiceps,1031
Chlorurus oedema,16
Scarus forsteni,2582
Scarus trispinosus,127
Scarus taeniopterus,3798
Sparisoma axillare,100
Chlorurus gibbus,90
Scarus koputea,1
Scarus frenatus,3909
Leptoscarus vaigiensis,250
Cryptotomus roseus,1301
Chlorurus genazonatus,3
Scarus ferrugineus,27
Scarus hypselopterus,17
Chlorurus frontalis,509
Scarus persicus,12
Scarus caudofasciatus,15
Chlorurus rhakoura,6
Sparisoma atomarium,3570
Scarus longipinnis,53
Elops saurus,8046
Megalops atlanticus,424
Conus lischkeanus,42
Conus pusio,NA
Conus praecellens,28
Conus sanguinolentus,167
Conus bullatus,12
Conus betulinus,78
Conus capitanellus,140
Conus distans,157
Conus textile,370
Conus nussatella,88
Conus striatus,223
Conus milneedwardsi,29
Conus muriculatus,120
Conus coelinae,22
Conus sulcatus,134
Conus amphiurgus,30
Conus emaciatus,127
Conus gladiator,14
Conus mustelinus,61
Conus moluccensis,3
Conus catus,220
Conus daucus,36
Conus boeticus,38
Conus litoglyphus,91
Conus floridulus,27
Conus ammiralis,106
Conus leopardus,169
Conus coccineus,25
Conus monachus,17
Conus baileyi,24
Conus monile,16
Conus aureus,14
Conus frigidus,164
Conus obscurus,40
Conus flammeacolor,NA
Conus kimioi,4
Conus rattus,330
Conus circumactus,17
Conus villepinii,73
Conus armadillo,1
Conus brunneus,20
Conus generalis,109
Conus articulatus,15
Conus howelli,50
Conus granum,NA
Conus pulicarius,194
Conus capitaneus,178
Conus retifer,34
Conus stearnsii,64
Conus magus,158
Conus mazei,60
Conus flavidus,368
Conus aulicus,63
Conus moreleti,101
Conus fergusoni,13
Conus magnificus,21
Conus ermineus,22
Conus chaldaeus,41
Conus terebra,85
Conus bandanus,5
Conus sazanka,15
Conus miliaris,263
Conus imperialis,184
Conus mindanus,74
Conus ebraeus,426
Conus suratensis,17
Conus granulatus,5
Conus attenuatus,5
Conus mus,38
Conus miles,438
Conus coronatus,509
Conus jaspideus,103
Conus boholensis,17
Conus orbignyi,59
Conus spectrum,47
Conus tenuistriatus,18
Conus radiatus,18
Conus luteus,4
Conus episcopatus,2
Conus sponsalis,265
Conus teramachii,14
Conus parius,NA
Conus viola,3
Conus cancellatus,144
Conus varius,82
Conus purpurascens,28
Conus chiangi,3
Conus striatellus,63
Conus eburneus,274
Conus marmoreus,263
Conus acutangulus,67
Conus cinereus,21
Conus pennaceus,127
Conus aurantius,NA
Conus litteratus,144
Conus glans,114
Conus achatinus,106
Conus crocatus,1
Conus aphrodite,24
Conus canonicus,56
Conus tessulatus,257
Conus coffeae,49
Conus geographus,118
Conus vexillum,148
Conus tulipa,112
Conus cylindraceus,12
Conus musicus,271
Conus patae,4
Conus ceruttii,NA
Conus planorbis,319
Conus quercinus,157
Conus auricomus,8
Conus omaria,107
Conus caracteristicus,26
Conus centurio,16
Conus archon,4
Conus legatus,7
Conus lividus,398
Conus consors,23
Conus balteatus,69
Conus virgo,240
Conus regius,23
Conus arenatus,285
Conus cardinalis,1
Conus pertusus,33
Albula argentea,3
Albula glossodonta,36
Albula oligolepis,4
Pterothrissus belloci,1834
Pterothrissus gissu,16
Elops hawaiensis,61
Elops senegalensis,670
Microlipophrys dalmatinus,3
Microlipophrys nigriceps,16
Parablennius rouxi,64
Salaria basilisca,6
Epinephelus chabaudi,17
Epinephelus itajara,960
Meiacanthus anema,24
Omox biporos,37
Neophocaena phocaenoides,687
Holothuria fuscogilva,194
Diplodus cervinus,141
Lagocephalus sceleratus,1561
Takifugu ocellatus,5
Panulirus femoristriga,3
Acanthopagrus schlegelii,37
Archosargus rhomboidalis,143
Dentex spariformis,135
Dentex angolensis,1938
Pagrus caeruleostictus,1141
Lithognathus mormyrus,609
Pagellus bellottii,2163
Rhabdosargus thorpei,85
Rhabdosargus haffara,61
Dentex maroccanus,117
Pagrus major,61
Stenotomus chrysops,11625
Sarpa salpa,1928
Spondyliosoma emarginatum,23053
Sparidentex hasta,7
Dentex abei,NA
Calamus nodosus,782
Acanthopagrus chinshira,NA
Stenotomus caprinus,410
Acanthopagrus palmaris,1
Calamus proridens,63
Chrysoblephus cristiceps,22457
Polysteganus praeorbitalis,18976
Dentex gibbosus,1013
Calamus campechanus,3
Acanthopagrus butcheri,254
Calamus bajonado,71
Argyrops bleekeri,18
Dentex canariensis,917
Chrysoblephus anglicus,46394
Oblada melanura,161
Rhabdosargus sarba,458
Pachymetopon aeneum,14821
Rhabdosargus holubi,338
Cymatoceps nasutus,13551
Calamus pennatula,72
Calamus penna,116
Pachymetopon grande,1263
Pterogymnus laniarius,75342
Diplodus noct,38
Polysteganus coeruleopunctatus,8201
Crenidens crenidens,87
Boopsoidea inornata,2383
Pagrus auriga,773
Cheimerius nufar,89899
Diplodus bellottii,33
Archosargus probatocephalus,10260
Pagellus erythrinus,1846
Rhabdosargus globiceps,56911
Sparodon durbanensis,224
Dentex fourmanoiri,16
Pagellus acarne,906
Argyrozona argyrozona,140266
Dentex macrophthalmus,1559
Calamus leucosteus,798
Argyrops spinifer,1425
Acanthopagrus bifasciatus,53
Pagrus africanus,817
Pagellus bogaraveo,1629
Dentex dentex,242
Virididentex acromegalus,10
Petrus rupestris,23866
Polyamblyodon germanum,2248
Calamus calamus,3798
Lagodon rhomboides,58251
Boops boops,3753
Argyrops filamentosus,41
Sparus aurata,1210
Chrysoblephus gibbiceps,22714
Acanthopagrus australis,459
Spondyliosoma cantharus,1634
Chrysoblephus puniceus,92423
Diplodus annularis,641
Diplodus vulgaris,804
Diplodus puntazzo,196
Acanthopagrus latus,81
Diplodus holbrookii,567
Polysteganus baissaci,7
Acanthopagrus berda,447
Diplodus omanensis,NA
Omobranchus zebra,15
Chelonodon patoca,361
Entomacrodus vermiculatus,34
Omobranchus punctatus,59
Halophila spinulosa,206
Thalassia testudinum,963
Halophila decipiens,578
Halodule wrightii,330
Thalassodendron ciliatum,94
Syringodium filiforme,887
Conocarpus erectus,8
Avicennia germinans,110
Holothuria coronopertusa,NA
Blennius ocellaris,1431
Lipophrys trigloides,31
Spaniblennius riodourensis,NA
Parablennius salensis,NA
Parablennius dialloi,4
Parablennius sierraensis,NA
Hypleurochilus aequipinnis,17
Parablennius verryckeni,1
Hypleurochilus fissicornis,21
Parablennius goreensis,5
Microlipophrys canevae,NA
Parablennius ruber,94
Coryphoblennius galerita,97
Aidablennius sphynx,25
Hypleurochilus langi,6
Salaria pavo,82
Bathyblennius antholops,2
Lipophrys pholis,1043
Parablennius incognitus,17
Blennius normani,708
Parablennius tentacularis,97
Ophioblennius trinitatis,12
Parablennius sanguinolentus,58
Chromis enchrysura,393
Chromis chromis,954
Chromis cadenati,235
Abudefduf luridus,345
Chrysiptera unimaculata,282
Abudefduf taurus,83
Chromis scotti,4273
Stegastes otophorus,4
Chromis limbata,395
Stegastes planifrons,3405
Stegastes partitus,8905
Stegastes adustus,1449
Stegastes leucostictus,2507
Abudefduf saxatilis,2324
Stegastes imbricatus,5
Stegastes diencaeus,1058
Chromis multilineata,1473
Microspathodon chrysurus,4159
Microspathodon frontatus,2
Chromis insolata,348
Canthigaster figueiredoi,37
Sphoeroides pachygaster,2242
Sphoeroides maculatus,3951
Lagocephalus laevigatus,1365
Lagocephalus lagocephalus,871
Conus vicweei,2
Takifugu vermicularis,10
Arothron caeruleopunctatus,10
Takifugu bimaculatus,NA
Sphoeroides parvus,9570
Takifugu rubripes,5
Torquigener vicinus,2
Torquigener hypselogeneion,99
Lagocephalus spadiceus,289
Canthigaster papua,8
Takifugu reticularis,NA
Lagocephalus suezensis,10
Sphoeroides spengleri,1222
Contusus brevicaudus,78
Sphoeroides greeleyi,86
Torquigener pleurogramma,153
Torquigener andersonae,11
Canthigaster axiologus,NA
Colomesus psittacus,182
Canthigaster margaritata,41
Canthigaster bennetti,258
Takifugu exascurus,2
Torquigener gloerfelti,NA
Tetractenos glaber,255
Arothron meleagris,629
Canthigaster jactator,3250
Lagocephalus lunaris,642
Takifugu flavidus,NA
Takifugu porphyreus,NA
Canthigaster compressa,52
Torquigener paxtoni,NA
Arothron mappa,55
Torquigener parcuspinus,19
Canthigaster amboinensis,370
Omegophora armilla,334
Feroxodon multistriatus,232
Torquigener pallimaculatus,582
Marilyna pleurosticta,66
Torquigener randalli,10
Takifugu pardalis,3
Canthigaster natalensis,10
Takifugu chrysops,4
Canthigaster pygmaea,4
Sphoeroides tyleri,9
Arothron hispidus,919
Torquigener flavimaculosus,23
Torquigener altipinnis,23
Canthigaster rivulata,222
Canthigaster callisterna,76
Canthigaster smithae,50
Arothron stellatus,445
Arothron reticularis,105
Lagocephalus inermis,491
Lagocephalus guentheri,84
Arothron diadematus,26
Canthigaster ocellicincta,28
Canthigaster jamestyleri,7
Canthigaster epilampra,29
Torquigener hicksi,13
Torquigener perlevis,16
Chelonodon laticeps,53
Amblyrhynchotes honckenii,374
Canthigaster coronata,417
Ephippion guttifer,785
Sphoeroides dorsalis,299
Torquigener squamicauda,51
Sphoeroides nephelus,71
Canthigaster janthinoptera,563
Tylerius spinosissimus,120
Sphoeroides marmoratus,406
Takifugu stictonotus,6
Canthigaster solandri,556
Takifugu snyderi,1
Torquigener whitleyi,359
Tetractenos hamiltoni,179
Marilyna darwinii,13
Arothron inconditus,49
Takifugu alboplumbeus,1
Contusus richei,264
Canthigaster rostrata,2842
Canthigaster valentini,836
Canthigaster cyanospilota,5
Omegophora cyanopunctata,9
Arothron nigropunctatus,353
Arothron immaculatus,241
Takifugu pseudommus,1
Takifugu oblongus,64
Sphoeroides testudineus,345
Canthigaster tyleri,25
Arothron firmamentum,49
Hypleurochilus caudovittatus,6
Hypleurochilus multifilis,8
Scartella cristata,220
Parablennius pilicornis,245
Petroscirtes ancylodon,9
Alticus kirkii,42
Antennablennius adenensis,5
Antennablennius australis,58
Antennablennius bifilum,169
Antennablennius hypenetes,9
Antennablennius variopunctatus,26
Blenniella periophthalmus,256
Hirculops cornifer,40
Istiblennius edentulus,752
Istiblennius pox,24
Mimoblennius cirrosus,13
Parablennius opercularis,11
Parablennius thysanius,8
Pereulixia kosiensis,63
Petroscirtes mitratus,201
Plagiotremus townsendi,10
Xiphasia setifer,152
Chasmodes saburrae,84
Entomacrodus nigricans,161
Hypleurochilus bermudensis,38
Hypleurochilus springeri,9
Hypsoblennius hentz,133
Ophioblennius macclurei,376
Parablennius marmoreus,969
Archosargus pourtalesii,70
Calamus brachysomus,246
Calamus taurinus,52
Chasmodes bosquianus,62
Hypleurochilus geminatus,203
Hypleurochilus pseudoaequipinnis,7
Acanthopagrus arabicus,NA
Alloblennius anuchalis,5
Alloblennius jugularis,6
Alloblennius parvus,22
Alloblennius pictus,19
Alticus monochrus,22
Alticus montanoi,16
Alticus saliens,9
Cirripectes obscurus,7
Meiacanthus atrodorsalis,443
Plagiotremus ewaensis,230
