iucn_sid,am_sid,sciname,gbif_occ,occurcells
133403,URM-Cn-5476,Turbinaria stellulata,277,35
133405,SLB-62382,Caulastrea tumida,95,15
133406,URM-Cn-6137,Psammocora haimeana,173,51
133407,SLB-189370,Pocillopora eydouxi,803,153
133408,URM-Cn-6130,Coscinaraea wellsi,64,20
133409,URM-Cn-4948,Montipora verruculosus,2,10
133410,URM-Cn-4978,Pachyseris speciosa,808,110
133412,URM-Cn-5816,Gyrosmilia interrupta,41,24
133414,URM-Cn-5578,Goniastrea pectinata,1182,54
133415,URM-Cn-4859,Anacropora puertogalerae,83,28
133416,URM-Cn-4886,Montipora circumvallata,19,7
133417,SLB-62381,Caulastrea furcata,204,62
133419,URM-Cn-5871,Lobophyllia hemprichii,1032,129
133420,URM-Cn-4906,Montipora grisea,286,50
133422,URM-Cn-4884,Montipora capricornis,30,29
133423,URM-Cn-5764,Fungia horrida,585,33
133428,URM-Cn-6122,Coscinaraea columna,510,102
133429,URM-Cn-5526,Echinopora horrida,327,41
133432,URM-Cn-4832,Acropora spicifera,293,72
133433,URM-Cn-4889,Montipora crassituberculata,245,30
133435,URM-Cn-5988,Seriatopora dendritica,NA,5
133437,URM-Cn-5765,Fungia moluccensis,248,20
133439,SLB-61834,Agaricia tenuifolia,2392,53
133440,URM-Cn-5614,Platygyra pini,649,39
133442,URM-Cn-5948,Oxypora lacera,653,52
133443,URM-Cn-4879,Montipora australiensis,50,40
133444,URM-Cn-5920,Oculina valenciennesi,44,13
133450,URM-Cn-4943,Montipora turtlensis,157,19
133451,URM-Cn-4891,Montipora danae,310,64
133457,URM-Cn-5877,Mussa angulosa,383,27
133458,URM-Cn-5823,Hydnophora microconos,411,80
133460,SLB-93100,Montipora cocosensis,19,19
133468,URM-Cn-5612,Platygyra daedalea,1332,34
133470,SLB-158790,Micromussa amakusensis,68,15
133474,URM-Cn-5891,Symphyllia agaricia,176,83
133476,SLB-61883,Madracis asperula,513,94
133478,URM-Cn-5821,Hydnophora exesa,873,68
133479,URM-Cn-4762,Acropora hyacinthus,1843,227
133481,URM-Cn-4727,Acropora chesterfieldensis,64,10
133483,URM-Cn-4787,Acropora mirabilis,1,18
133484,SLB-158735,Anomastraea irregularis,22,17
133485,SLB-93759,Astreopora randalli,19,30
133488,SLB-62813,Pectinia africanus,4,8
133489,URM-Cn-4892,Montipora delicatula,6,9
133492,URM-Cn-6075,Porites rus,443,78
133493,SLB-62496,Platygyra ryukyuensis,122,32
133494,SLB-93535,Acropora papillare,54,10
133495,SLB-117483,Galaxea horrescens,59,10
133497,SLB-62380,Caulastrea echinulata,60,13
133498,URM-Cn-5473,Turbinaria peltata,627,48
133500,URM-Cn-4771,Acropora kosurini,44,3
133502,URM-Cn-6142,Psammocora superficialis,452,68
133504,URM-Cn-6055,Porites furcata,1057,66
133509,URM-Cn-5789,Podabacia motuporensis,84,4
133511,URM-Cn-5916,Oculina patagonica,103,9
133513,URM-Cn-4712,Acropora anthocercis,208,83
133516,URM-Cn-5556,Favia truncatus,38,43
133521,URM-Cn-5006,Stephanocoenia intersepta,1110,25
133522,URM-Cn-4959,Helioseris cucullata,348,19
133525,URM-Cn-4920,Montipora monasteriata,252,68
133527,URM-Cn-5879,Mussismilia harttii,146,9
133528,URM-Cn-5859,Blastomussa merleti,81,45
133530,SLB-117551,Stylophora subseriata,31,22
133532,URM-Cn-4851,Acropora verweyi,293,38
133534,URM-Cn-5986,Pocillopora zelli,2,4
133535,URM-Cn-4950,Agaricia agaricites,6327,136
133538,SLB-62658,Herpolitha limax,892,48
133543,SLB-158796,Porites brighami,18,11
133545,SLB-62704,Paraclavarina triangularis,99,3
133547,URM-Cn-4855,Acropora yongei,452,118
133548,URM-Cn-5007,Stylocoeniella armata,226,40
133551,URM-Cn-5865,Lobophyllia corymbosa,613,64
133556,URM-Cn-4935,Montipora spumosa,220,67
133557,SLB-158238,Acanthastrea brevis,13,20
133560,URM-Cn-5577,Goniastrea palauensis,287,48
133563,URM-Cn-4927,Montipora peltiformis,144,56
133564,URM-Cn-5863,Isophyllastrea rigida,165,27
133566,URM-Cn-5886,Scolymia australis,98,27
133569,URM-Cn-5538,Favia favus,1274,76
133570,URM-Cn-6140,Psammocora profundacella,358,55
133571,URM-Cn-5609,Platygyra carnosus,7,5
133574,SLB-158797,Porites pukoensis,15,8
133575,SLB-61985,Cladocora arbuscula,243,31
133581,URM-Cn-4985,Pavona diffluens,13,14
133582,SLB-62826,Oxypora crassispinosa,5,3
133584,SLB-158799,Porites divaricata,209,15
133587,URM-Cn-5794,Sandalolitha dentata,210,5
133589,URM-Cn-6136,Psammocora explanulata,94,27
133590,URM-Cn-6147,Siderastrea savignyana,54,46
133591,URM-Cn-5864,Isophyllia sinuosa,489,28
133592,URM-Cn-4747,Acropora exquisita,18,20
133595,W-Hyd-210730,Millepora platyphylla,392,34
133597,URM-Cn-5746,Cantharellus doederleini,13,11
133599,URM-Cn-4944,Montipora undata,290,77
133604,URM-Cn-4713,Acropora arabensis,39,18
133606,URM-Cn-5895,Symphyllia recta,396,107
133607,URM-Cn-6020,Goniopora minor,356,3
133611,URM-Cn-5972,Madracis senaria,2,20
133613,URM-Cn-6077,Porites solida,245,55
133614,SLB-62852,Seriatopora guttatus,4,14
133619,URM-Cn-5868,Lobophyllia diminuta,19,26
133621,URM-Cn-4849,Acropora valenciennesi,320,55
133622,URM-Cn-4883,Montipora capitata,55,25
133631,URM-Cn-5534,Erythrastrea flabellata,8,5
133633,URM-Cn-5471,Turbinaria mesenterina,594,47
133634,URM-Cn-5580,Goniastrea retiformis,926,63
133636,URM-Cn-4964,Leptoseris gardineri,123,23
133637,URM-Cn-5980,Pocillopora indiania,3,5
133638,URM-Cn-5546,Favia maritima,266,23
133639,URM-Cn-4806,Acropora pichoni,67,15
133642,URM-Cn-5848,Acanthastrea hemprichii,1239,41
133645,SLB-184819,Porites somaliensis,29,16
133646,URM-Cn-4947,Montipora verrucosa,592,133
133647,URM-Cn-4809,Acropora polystoma,156,29
133648,URM-Cn-5514,Cyphastrea microphthalma,814,60
133649,SLB-93391,Acropora abrotanoides,458,66
133651,URM-Cn-5613,Platygyra lamellina,795,43
133653,URM-Cn-4732,Isopora cylindrica,NA,9
133654,URM-Cn-5561,Favites chinensis,351,33
133658,SLB-93454,Acropora bifurcata,1,17
133659,URM-Cn-5991,Stylophora kuehlmanni,12,7
133660,SLB-184810,Isopora cuneata,39,52
133662,URM-Cn-5905,Galaxea fascicularis,1272,142
133665,URM-Cn-5581,Goniastrea thecata,4,4
133666,URM-Cn-4785,Acropora millepora,1228,31
133668,URM-Cn-6030,Goniopora stokesi,186,8
133672,SLB-158629,Acropora efflorescens,10,4
133673,URM-Cn-5766,Fungia paumotensis,491,79
133674,URM-Cn-4919,Montipora mollis,459,67
133676,URM-Cn-6143,Psammocora vaughani,27,4
133679,URM-Cn-5428,Heteropsammia cochlea,749,65
133680,URM-Cn-6038,Porites astreoides,11052,12
133682,SLB-93593,Acropora subulata,411,36
133685,URM-Cn-5995,Stylophora pistillata,1449,155
133686,URM-Cn-4961,Leptoseris cailleti,23,15
133690,URM-Cn-5513,Cyphastrea japonica,123,3
133693,URM-Cn-5795,Sandalolitha robusta,399,43
133697,URM-Cn-5475,Turbinaria reniformis,561,40
133702,URM-Cn-4987,Pavona duerdeni,90,93
136315,ITS-Mam-771132,Orcaella heinsohni,256,37
154623,Fis-31462,Cheilinus trilobatus,1328,224
154630,Fis-133923,Canthigaster inframacula,9,6
154643,Fis-25990,Parenchelyurus hepburni,99,46
154676,Fis-21841,Scarus prasiognathos,404,40
154677,Fis-31417,Scarus festivus,71,39
154680,Fis-32647,Dentex barnardi,47,13
154697,Fis-30092,Xyrichtys martinicensis,148,33
154701,Fis-28631,Pseudolabrus luculentus,1789,22
154706,Fis-21839,Scarus dubius,249,8
154720,Fis-145572,Suezichthys bifurcatus,16,10
154734,Fis-26110,Pagrus auratus,6965,417
154753,Fis-49046,Hypleurochilus bananensis,15,9
154760,Fis-31484,Chromis alpha,205,52
154780,Fis-28645,Siphonognathus beddomei,447,26
154788,Fis-31453,Hemitaurichthys thompsoni,44,37
154809,Fis-58059,Apolemichthys kingi,26,7
154812,Fis-31865,Amphiprion sandaracinos,147,39
154818,Fis-51787,Acanthurus gahhm,256,11
154829,Fis-128246,Parablennius yatabei,467,24
154831,Fis-24501,Chromis punctipinnis,602,22
154841,Fis-113731,Dotalabrus alleni,208,16
154856,Fis-35167,Chromis pembae,35,18
154891,Fis-35454,Cirrhilabrus lineatus,28,13
154904,Fis-26248,Halichoeres ornatissimus,324,106
154915,Fis-27908,Teixeirichthys jordani,142,36
154920,Fis-28282,Chrysiptera flavipinnis,305,35
154927,Fis-146748,Entomacrodus macrospilus,36,7
154946,Fis-29512,Scomberomorus queenslandicus,1729,187
154947,Fis-35292,Ecsenius trilineatus,78,24
154954,Fis-28998,Thalassoma lucasanum,2427,121
154960,Fis-31423,Scarus oviceps,1374,113
154971,Fis-26763,Scarus viridifucatus,31,19
154972,Fis-59731,Parablennius zvonimiri,105,30
155006,Fis-26809,Coris caudimacula,403,67
155013,Fis-49130,Parablennius parvicornis,325,16
155017,Fis-32519,Labroides phthirophagus,69,13
155029,Fis-32512,Salarias ceramensis,56,24
155032,Fis-35462,Cirrhilabrus rubripinnis,45,5
155034,Fis-32415,Crossosalarias macrospilus,187,53
155076,Fis-26972,Halichoeres notospilus,884,98
155079,Fis-28707,Torquigener tuberculiferus,283,24
155083,Fis-27342,Centropyge acanthops,120,36
155096,Fis-22818,Sarda sarda,3026,633
155098,Fis-28234,Chromis flavicauda,25,12
155099,Fis-28969,Omobranchus anolius,206,39
155108,Fis-138844,Omobranchus rotundiceps,278,75
155120,Fis-25960,Naso vlamingii,514,116
155146,Fis-31471,Anampses melanurus,129,41
155180,Fis-29746,Calamus cervigoni,16,9
155186,Fis-25099,Cirripectes filamentosus,542,117
155193,Fis-27747,Coradion melanopus,34,11
155194,Fis-144753,Cirripectes alleni,14,7
155220,Fis-22163,Chaetodon sedentarius,1487,202
155221,Fis-138816,Halichoeres papilionaceus,179,28
155238,Fis-28627,Halichoeres binotopsis,111,25
155250,Fis-31047,Dentex congoensis,738,114
155252,Fis-140522,Pseudojuloides kaleidos,8,3
155276,Fis-22834,Thunnus atlanticus,284,733
155290,Fis-25406,Scarus schlegeli,3253,94
155308,Fis-26704,Centropyge loricula,NA,50
155313,Fis-31872,Canthigaster leoparda,11,6
155314,Fis-134684,Pseudocheilinus ocellatus,67,27
158632,Fis-35632,Salarias sinuosus,211,53
165607,Fis-32633,Chaetodon falcula,247,36
165608,Fis-35229,Heniochus pleurotaenia,59,15
165609,Fis-35091,Chaetodon larvatus,78,18
165610,Fis-32653,Chaetodon leucopleura,40,20
165611,Fis-22162,Chaetodon ocellatus,3035,222
165612,Fis-59414,Chaetodon zanzibarensis,88,32
165613,Fis-148572,Prognathodes brasiliensis,14,7
165614,Fis-162910,Roa jayakari,19,6
165615,Fis-31436,Chaetodon mertensii,607,94
165616,Fis-31910,Chelmon marginalis,980,75
165618,Fis-58066,Chaetodon mesoleucos,40,10
165619,Fis-32530,Chaetodon guttatissimus,399,62
165620,Fis-31430,Chaetodon burgessi,42,4
165621,Fis-148569,Prognathodes aya,149,64
165622,Fis-31456,Heniochus singularius,228,88
165623,Fis-31439,Chaetodon octofasciatus,528,83
165624,Fis-32539,Chaetodon triangulum,257,20
165625,Fis-35094,Chaetodon paucifasciatus,105,14
165626,Fis-25701,Heniochus acuminatus,1542,255
165627,Fis-148575,Prognathodes aculeatus,178,89
165628,Fis-31391,Chaetodon kleinii,3045,226
165630,Fis-31451,Chaetodon vagabundus,3225,286
165631,Fis-31427,Chaetodon auriga,4082,279
165632,Fis-31440,Chaetodon punctatofasciatus,649,88
165633,Fis-28456,Johnrandallia nigrirostris,1478,106
165634,Fis-31860,Chaetodon austriacus,143,16
165635,Fis-32747,Chaetodon humeralis,1265,151
165636,Fis-35231,Chaetodon nippon,173,13
165637,Fis-22164,Chaetodon striatus,1083,169
165638,Fis-31437,Chaetodon meyeri,470,97
165639,Fis-17443,Roa excelsa,3,5
165640,Fis-31454,Heniochus chrysostomus,1042,143
165641,Fis-31874,Chaetodon ornatissimus,1746,177
165642,Fis-32531,Chaetodon madagaskariensis,174,45
165643,Fis-31905,Chaetodon selene,83,22
165646,Fis-148570,Prognathodes guyanensis,27,38
165648,Fis-33881,Chaetodon decussatus,79,24
165649,Fis-58068,Chaetodon gardineri,22,19
165650,Fis-31455,Heniochus monoceros,338,122
165651,Fis-25697,Chaetodon lunula,1770,282
165652,Fis-25702,Heniochus varius,707,94
165653,Fis-31893,Chaetodon pelewensis,2251,88
165654,Fis-33074,Chaetodon dolosus,96,30
165655,Fis-32544,Chaetodon multicinctus,142,11
165656,Fis-31856,Chaetodon xanthurus,171,25
165657,Fis-31895,Chaetodon plebeius,3039,89
165659,Fis-25650,Chelmon rostratus,1894,142
165660,Fis-62923,Chelmon muelleri,196,47
165661,Fis-26749,Parachaetodon ocellatus,1466,178
165662,Fis-32542,Chaetodon fremblii,179,34
165663,Fis-31915,Chaetodon argentatus,123,17
165664,Fis-31399,Chaetodon oxycephalus,78,27
165665,Fis-31449,Chaetodon ulietensis,1267,102
165666,Fis-33082,Chaetodon mitratus,40,17
165667,Fis-25699,Forcipiger longirostris,522,173
165668,Fis-31431,Chaetodon citrinellus,3222,248
165669,Fis-31434,Chaetodon lineolatus,1767,158
165670,Fis-35096,Chaetodon semilarvatus,144,17
165671,Fis-32532,Chaetodon xanthocephalus,159,50
165672,Fis-25700,Hemitaurichthys polylepis,547,88
165673,Fis-31448,Chaetodon trifasciatus,4147,255
165674,Fis-25458,Prognathodes marcellae,716,81
165675,Fis-35297,Chaetodon smithi,31,3
165676,Fis-31438,Chaetodon ocellicaudus,78,20
165677,Fis-34757,Roa modestus,8,43
165678,Fis-31441,Chaetodon quadrimaculatus,371,91
165679,Fis-35236,Chaetodon trichrous,64,11
165680,Fis-31442,Chaetodon rafflesii,777,88
165681,Fis-31432,Chaetodon ephippium,1744,172
165682,Fis-28538,Amphichaetodon howensis,163,30
165683,Fis-32521,Heniochus diphreutes,641,108
165684,Fis-151993,Chaetodon interruptus,70,27
165685,Fis-31916,Chaetodon wiebeli,143,23
165686,Fis-31429,Chaetodon bennetti,361,86
165687,Fis-31906,Chaetodon tricinctus,750,4
165688,Fis-31867,Chaetodon flavirostris,1500,62
165689,Fis-31435,Chaetodon melannotus,3107,189
165691,Fis-35097,Heniochus intermedius,162,21
165692,Fis-31428,Chaetodon baronessa,2626,138
165693,Fis-31908,Chaetodon auripes,537,33
165694,Fis-31445,Chaetodon speculum,953,110
165695,Fis-22160,Chaetodon capistratus,3529,163
165696,Fis-35234,Chaetodon nigropunctatus,47,12
165697,Fis-34428,Coradion altivelis,333,83
165698,Fis-31446,Chaetodon tinkeri,24,8
165700,Fis-31212,Chaetodon hoefleri,751,99
165701,Fis-138631,Prognathodes falcifer,58,23
165702,Fis-25698,Coradion chrysozonus,1117,158
165703,Fis-31859,Chaetodon aureofasciatus,2855,97
165704,Fis-35803,Chaetodon lunulatus,1678,103
165705,Fis-35089,Chaetodon fasciatus,189,25
165706,Fis-58081,Chelmonops curiosus,791,35
165707,Fis-142113,Chaetodon andamanensis,15,7
165709,Fis-32634,Chaetodon blackburnii,155,30
165710,Fis-31862,Chaetodon assarius,146,24
165711,Fis-31861,Chaetodon adiergastos,283,25
165712,Fis-31447,Chaetodon trifascialis,3179,213
165713,Fis-31443,Chaetodon reticulatus,671,97
165714,Fis-31450,Chaetodon unimaculatus,1545,163
165716,Fis-31452,Forcipiger flavissimus,2557,238
165717,Fis-31904,Chaetodon rainfordi,3025,49
165718,Fis-31868,Chaetodon guentheri,498,46
165719,Fis-26699,Hemitaurichthys zoster,150,44
165720,Fis-27746,Chelmonops truncatus,468,45
165721,Fis-31248,Chaetodon miliaris,251,47
165723,Fis-32538,Chaetodon collare,246,46
165724,Fis-35232,Chaetodon melapterus,41,13
165725,Fis-31444,Chaetodon semeion,190,48
165726,Fis-58083,Chaetodon dialeucos,11,3
165727,Fis-33857,Amphichaetodon melbae,21,3
165822,Fis-27169,Apolemichthys griffisi,13,5
165825,Fis-34365,Holacanthus africanus,689,81
165826,Fis-34344,Chaetodontoplus chrysocephalus,44,8
165828,Fis-26703,Centropyge fisheri,162,49
165829,Fis-25750,Pomacanthus xanthometopon,179,45
165830,Fis-34254,Centropyge hotumatua,67,5
165831,Fis-28090,Pomacanthus chrysurus,47,22
165832,Fis-30117,Holacanthus bermudensis,2775,90
165833,Fis-26757,Pomacanthus maculosus,194,35
165834,Fis-17303,Apolemichthys arcuatus,42,8
165835,Fis-26169,Apolemichthys trimaculatus,456,107
165837,Fis-22168,Centropyge argi,232,95
165838,Fis-32986,Centropyge colini,19,9
165839,Fis-28087,Pomacanthus asfur,81,22
165840,Fis-26189,Pomacanthus sexstriatus,888,103
165841,Fis-34217,Apolemichthys xanthopunctatus,30,3
165842,Fis-58074,Pomacanthus rhomboides,112,21
165843,Fis-27124,Genicanthus melanospilos,153,62
165844,Fis-28015,Apolemichthys xanthurus,58,28
165845,Fis-28065,Genicanthus caudovittatus,69,19
165846,Fis-34362,Genicanthus spinus,10,3
165847,Fis-34196,Chaetodontoplus ballinae,11,4
165848,Fis-31480,Centropyge heraldi,325,77
165849,Fis-143219,Centropyge ferrugata,100,13
165850,Fis-27817,Chaetodontoplus melanosoma,200,26
165851,Fis-25751,Pomacanthus semicirculatus,835,166
165852,Fis-152142,Paracentropyge multifasciata,156,39
165853,Fis-28014,Apolemichthys xanthotis,35,15
165854,Fis-58055,Centropyge debelius,10,4
165855,Fis-34191,Centropyge eibli,259,30
165856,Fis-28077,Genicanthus semifasciatus,68,11
165857,Fis-27945,Chaetodontoplus duboulayi,1269,119
165858,Fis-166181,Centropyge interruptus,NA,7
165860,Fis-59453,Centropyge vrolikii,1388,161
165862,Fis-26162,Pomacanthus imperator,1265,206
165864,Fis-31481,Genicanthus bellus,49,11
165865,Fis-34233,Centropyge aurantonotus,39,25
165867,Fis-25749,Pomacanthus navarchus,197,27
165868,Fis-26239,Centropyge nox,219,58
165870,Fis-27944,Chaetodontoplus conspicillatus,80,8
165871,Fis-143216,Centropyge bispinosa,1561,178
165872,Fis-27125,Genicanthus watanabei,96,30
165873,Fis-26756,Pomacanthus annularis,200,73
165874,Fis-32559,Genicanthus personatus,20,4
165876,Fis-26182,Centropyge multispinis,597,82
165878,Fis-143220,Centropyge flavissima,1120,105
165879,Fis-24678,Holacanthus tricolor,1511,136
165880,Fis-32755,Holacanthus passer,1840,104
165881,Fis-27948,Chaetodontoplus personifer,876,62
165882,Fis-28063,Chaetodontoplus septentrionalis,493,33
165883,Fis-24677,Holacanthus ciliaris,1979,148
165884,Fis-25748,Chaetodontoplus mesoleucus,407,64
165885,Fis-26195,Pygoplites diacanthus,1382,200
165887,Fis-23732,Pomacanthus arcuatus,2733,199
165888,Fis-26221,Genicanthus lamarck,193,52
165889,Fis-26971,Pomacanthus zonipectus,514,95
165890,Fis-34261,Centropyge joculator,30,3
165891,Fis-34182,Chaetodontoplus meredithi,270,40
165893,Fis-143215,Centropyge aurantia,26,5
165895,Fis-34246,Centropyge flavipectoralis,23,12
165896,Fis-34264,Centropyge multicolor,30,16
165897,Fis-143222,Centropyge nigriocellus,NA,15
165898,Fis-23733,Pomacanthus paru,1754,208
165899,Fis-32546,Centropyge potteri,130,38
165900,Fis-143223,Centropyge venusta,73,13
165901,Fis-26181,Centropyge tibicen,932,110
165902,Fis-25632,Centropyge bicolor,1068,162
165910,Fis-24499,Chromis cyanea,1925,74
166868,Fis-22902,Megalops cyprinoides,943,212
168374,Fis-164150,Chaetodontoplus poliourus,25,8
169679,Fis-161602,Centropyge abei,6,3
169948,ITS-552952,Jasus frontalis,49,4
169949,ITS-97666,Scyllarus arctus,380,20
169951,ITS-199949,Panulirus penicillatus,11076,111
169954,ITS-199950,Scyllarides haanii,81,17
169955,ITS-97315,Homarus gammarus,5980,286
169956,ITS-552946,Thymopides grobovi,9,3
169958,ITS-97309,Nephropsis aculeata,444,169
169960,ITS-553011,Ibacus brucei,71,10
169962,ITS-552914,Acanthacaris tenuimana,20,13
169963,ITS-552938,Metanephrops mozambicus,6,6
169964,ITS-552971,Panulirus echinatus,22,4
169965,ITS-552933,Metanephrops australiensis,130,4
169966,ITS-97650,Panulirus interruptus,201,15
169967,ITS-97317,Nephrops norvegicus,2185,433
169968,ITS-552982,Panulirus versicolor,288,103
169969,ITS-553008,Evibacus princeps,118,23
169972,ITS-552935,Metanephrops challengeri,3701,131
169973,ITS-97312,Nephropsis neglecta,23,20
169974,ITS-552922,Nephropsis stewarti,114,81
169976,ITS-97648,Panulirus argus,3163,103
169978,Chn-b75cc929-1ac6-410b-888c-9ab8e709b6d0,Scammarctus batei,59,57
169979,ITS-553055,Thenus orientalis,319,199
169981,ITS-97321,Eunephrops manningi,3,3
169984,ITS-553014,Ibacus peronii,578,85
169985,ITS-552916,Nephropsis acanthura,59,18
169986,ITS-97311,Nephropsis rosea,249,119
169987,ITS-552977,Panulirus ornatus,132,49
169988,ITS-97651,Panulirus guttatus,85,40
169989,SLB-165892,Petrarctus brevicornis,71,4
169990,ITS-552979,Panulirus polyphagus,40,17
169991,ITS-553007,Scyllarides tridacnophaga,16,10
169995,ITS-553016,Parribacus holthuisi,19,4
169996,ITS-553015,Parribacus caledonicus,23,7
169999,ITS-552965,Palinurus gilchristi,873,48
170000,ITS-97319,Acanthacaris caeca,171,98
170002,ITS-553004,Scyllarides elisabethae,143,31
170004,Chn-b131aac2-f572-412d-992d-0a5de940cc27,Remiarctus bertholdii,265,89
170005,SLB-184639,Nupalirus japonicus,1,9
170006,ITS-552975,Panulirus japonicus,100,12
170007,ITS-552986,Puerulus carinatus,9,6
170008,ITS-660118,Scyllarides squammosus,156,62
170009,ITS-97314,Homarus americanus,5441,249
170010,ITS-552964,Palinurus delagoae,10,3
170011,ITS-552987,Puerulus sewelli,22,15
170013,ITS-553017,Parribacus japonicus,50,5
170014,ITS-97652,Panulirus laevicauda,30,30
170015,ITS-97696,Palinurellus gundlachi,33,20
170016,ITS-552988,Puerulus velutinus,65,3
170017,NZ-7290,Sagmariasus verreauxi,13,55
170018,ITS-552921,Nephropsis occidentalis,29,4
170021,ITS-97323,Metanephrops binghami,94,45
170023,ITS-553013,Ibacus novemdentatus,55,35
170024,ITS-552926,Thymopsis nilenta,11,3
170025,ITS-660225,Jasus edwardsii,2118,66
170026,ITS-553010,Ibacus brevipes,18,12
170028,ITS-553005,Scyllarides herklotsii,18,33
170029,ITS-97659,Palinustus truncatus,13,9
170030,ITS-553003,Scyllarides delfosi,24,9
170032,ITS-552923,Nephropsis suhmi,41,16
170033,ITS-553057,Palibythus magnificus,5,4
170034,ITS-552997,Arctides antipodarum,45,13
170035,ITS-552966,Palinurus mauritanicus,87,47
170036,ITS-552937,Metanephrops japonicus,71,3
170037,Chn-08d9eb73-87c3-4b8a-8861-baf5b2862d8c,Eduarctus martensii,201,116
170038,ITS-552925,Thymops birsteini,21,18
170039,ITS-552936,Metanephrops formosanus,5,3
170041,ITS-552981,Panulirus stimpsoni,9,4
170042,ITS-552984,Projasus parkeri,18,18
170044,ITS-552917,Nephropsis atlantica,62,32
170047,ITS-552967,Palinustus mossamicus,NA,3
170048,ITS-552969,Palinustus waguensis,12,4
170049,ITS-553058,Palinurellus wieneckii,26,17
170050,ITS-552934,Metanephrops boschmai,81,16
170051,ITS-552983,Projasus bahamondei,61,6
170052,ITS-552998,Arctides guineensis,4,9
170053,ITS-552942,Metanephrops sibogae,26,3
170054,ITS-552962,Linuparus trigonus,93,35
170055,SLB-184955,Petrarctus rugosus,41,35
170056,ITS-553024,Scyllarus pygmaeus,79,22
170059,ITS-553019,Parribacus scarlatinus,15,6
170060,ITS-552915,Nephropides caribaeus,33,7
170061,ITS-552972,Panulirus gracilis,7043,43
170062,ITS-552973,Panulirus homarus,104,42
170063,ITS-552999,Arctides regalis,41,12
170064,ITS-552945,Metanephrops velutinus,151,36
170065,ITS-552960,Linuparus somniosus,15,6
170066,ITS-552976,Panulirus longipes,67,36
170068,ITS-552906,Neoglyphea inopinata,16,4
170070,ITS-552961,Linuparus sordidus,62,21
170071,ITS-97682,Parribacus antarcticus,249,97
170072,ITS-552953,Jasus lalandii,854,52
170073,ITS-552970,Panulirus cygnus,17,12
170075,ITS-97676,Scyllarides aequinoctialis,79,44
170079,ITS-552944,Metanephrops thomsoni,46,8
170080,ITS-552985,Puerulus angulatus,197,54
170081,ITS-553012,Ibacus ciliatus,100,17
170082,ITS-97310,Nephropsis agassizii,87,61
170085,ITS-552927,Eunephrops bairdii,21,7
170086,ITS-552919,Nephropsis ensirostris,6,15
170087,SLB-184952,Ibacus alticrenatus,873,54
170088,ITS-97673,Scyllarides nodifer,122,26
170089,ITS-552939,Metanephrops neptunus,24,5
170092,ITS-552924,Nephropsis sulcata,36,34
170093,ITS-552928,Eunephrops cadenasi,14,10
170094,ITS-552980,Panulirus regius,60,23
170095,ITS-553065,Thaumastocheles zaleucus,53,7
170096,ITS-553064,Thaumastocheles japonicus,10,6
170097,SLB-190081,Justitia longimanus,48,18
170306,Fis-29507,Scomber japonicus,28587,269
170308,Fis-21661,Grammatorcynus bicarinatus,207,57
170309,Fis-163398,Kajikia audax,2567,1345
170310,Fis-22777,Katsuwonus pelamis,13575,2690
170311,Fis-22822,Scomberomorus guttatus,218,81
170312,Fis-164254,Istiompax indica,1525,1061
170313,Fis-22817,Sarda orientalis,1362,136
170314,Fis-29447,Makaira nigricans,1946,838
170315,Fis-30712,Tetrapturus angustirostris,582,461
170316,Fis-22820,Scomberomorus commerson,15887,388
170318,Fis-22812,Rastrelliger brachysoma,304,53
170319,Fis-22805,Orcynopsis unicolor,502,102
170320,Fis-29391,Euthynnus lineatus,612,111
170321,Fis-22754,Cybiosarda elegans,95,46
170322,Fis-164253,Kajikia albida,463,745
170323,Fis-22825,Scomberomorus maculatus,1000,140
170324,Fis-29499,Rastrelliger faughni,73,41
170325,Fis-29513,Scomberomorus sierra,673,134
170326,Fis-22830,Scomberomorus tritor,1005,99
170327,Fis-22827,Scomberomorus regalis,588,89
170328,Fis-22813,Rastrelliger kanagurta,1508,297
170329,Fis-29506,Scomber australasicus,3552,318
170330,Fis-29510,Scomberomorus munroi,500,151
170331,Fis-22735,Acanthocybium solandri,5857,488
170332,Fis-22815,Sarda australis,245,59
170333,Fis-8203,Tetrapturus georgii,57,13
170334,Fis-30713,Tetrapturus belone,16,32
170335,Fis-29509,Scomberomorus brasiliensis,171,48
170336,Fis-22758,Euthynnus affinis,2542,331
170337,Fis-22828,Scomberomorus semifasciatus,412,127
170338,Fis-22766,Istiophorus platypterus,2337,818
170339,Fis-22819,Scomberomorus cavalla,783,362
170340,Fis-29402,Gasterochisma melampus,107,65
170341,Fis-123736,Thunnus orientalis,582,586
170342,Fis-22776,Gymnosarda unicolor,250,136
170343,Fis-22823,Scomberomorus koreanus,48,28
170344,Fis-22739,Auxis thazard,5481,420
170345,Fis-22759,Euthynnus alletteratus,1525,271
170346,Fis-22829,Scomberomorus sinensis,24,13
170348,Fis-29511,Scomberomorus plurilineatus,1626,41
170349,Fis-29265,Allothunnus fallai,78,49
170351,Fis-22838,Thunnus tonggol,259,128
170352,Fis-21631,Sarda chiliensis,171,7
170353,Fis-22824,Scomberomorus lineolatus,218,24
170354,Fis-29508,Scomber scombrus,9770,1178
170355,Fis-22738,Auxis rochei,1174,198
170356,Fis-22826,Scomberomorus niphonius,107,18
170357,Fis-133251,Scomber colias,215,77
170358,Fis-21662,Grammatorcynus bilineatus,141,44
