speciesid,reviewed,speccode,genus,species,fbname,occurcells,kingdom,phylum,class,order,family,iucn_id,iucn_code,iucn_version
Fis-31163,null,4956,Dibranchus,atlanticus,Atlantic batfish,474,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,null,N.E.,2015-2
Fis-143556,null,58636,Dibranchus,erinaceus,null,14,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,null,N.E.,2015-2
Fis-143534,null,58630,Dibranchus,hystrix,null,15,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,null,N.E.,2015-2
Fis-53388,null,23252,Dibranchus,japonicus,Japanese seabat,20,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,null,N.E.,2015-2
Fis-149669,null,61055,Dibranchus,nasutus,null,10,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,null,N.E.,2015-2
Fis-143560,null,58637,Dibranchus,nudivomer,null,11,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,null,N.E.,2015-2
Fis-143552,null,58635,Dibranchus,spinosus,null,25,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,null,N.E.,2015-2
Fis-143532,null,58629,Dibranchus,tremendus,null,15,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,null,N.E.,2015-2
Fis-22755,1,63,Dicentrarchus,labrax,European seabass,263,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,135606,LC,2015-2
Fis-22873,null,394,Dicentrarchus,punctatus,Spotted seabass,38,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,null,N.E.,2015-2
Fis-62423,null,27426,Diceratias,bispinosus,Two-rod anglerfish,19,Animalia,Chordata,Actinopterygii,Lophiiformes,Diceratiidae,null,N.E.,2015-2
Fis-33804,null,10180,Diceratias,pileatus,null,23,Animalia,Chordata,Actinopterygii,Lophiiformes,Diceratiidae,null,N.E.,2015-2
Fis-59325,null,5511,Dichistius,multifasciatus,Banded galjoen,23,Animalia,Chordata,Actinopterygii,Perciformes,Dichistiidae,null,N.E.,2015-2
Fis-8265,null,526,Dicologlossa,cuneata,Wedge sole,127,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,155215,LC,2015-2
Fis-25400,null,4957,Dicologlossa,hexophthalma,Ocellated wedge sole,91,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,null,N.E.,2015-2
Fis-138079,null,56340,Dicrolene,filamentosa,null,15,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,null,N.E.,2015-2
Fis-64564,null,8091,Dicrolene,introniger,Digitate cusk eel,222,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,null,N.E.,2015-2
Fis-133567,null,54897,Dicrolene,kanazawai,null,28,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,null,N.E.,2015-2
Fis-132017,null,54124,Dicrolene,longimana,null,23,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,null,N.E.,2015-2
Fis-26750,null,7888,Dicrolene,multifilis,Slender brotula,10,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,154882,LC,2015-2
Fis-53360,null,23232,Dicrolene,tristis,null,20,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,null,N.E.,2015-2
Fis-32295,null,7300,Dinematichthys,iluocoeteoides,Yellow pigmy brotula,150,Animalia,Chordata,Actinopterygii,Ophidiiformes,Bythitidae,null,N.E.,2015-2
Fis-25063,null,4332,Dinolestes,lewini,Long-finned pike,99,Animalia,Chordata,Actinopterygii,Perciformes,Dinolestidae,null,N.E.,2015-2
Fis-7625,1,5522,Dinoperca,petersi,Lampfish,24,Animalia,Chordata,Actinopterygii,Perciformes,Dinopercidae,null,N.E.,2015-2
Fis-35868,null,14490,Diodon,eydouxii,Pelagic porcupinefish,36,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,null,N.E.,2015-2
Fis-31054,1,4659,Diodon,holocanthus,Longspined porcupinefish,449,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,null,N.E.,2015-2
Fis-29912,null,1022,Diodon,hystrix,Spot-fin porcupinefish,440,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,null,N.E.,2015-2
Fis-31875,null,6552,Diodon,liturosus,Black-blotched porcupinefish,106,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,null,N.E.,2015-2
Fis-35391,null,12864,Diodon,nicthemerus,Slender-spined porcupine fish,111,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,null,N.E.,2015-2
Fis-26531,null,7409,Diogenichthys,atlanticus,Longfin lanternfish,1047,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,null,N.E.,2015-2
Fis-24003,null,2733,Diogenichthys,laternatus,Diogenes lanternfish,286,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,null,N.E.,2015-2
Fis-50133,null,16757,Diogenichthys,panurgus,null,68,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,null,N.E.,2015-2
Fis-138185,null,56422,Diplacanthopoma,brachysoma,null,57,Animalia,Chordata,Actinopterygii,Ophidiiformes,Bythitidae,null,N.E.,2015-2
Fis-22763,null,64,Diplecogaster,bimaculata,Two-spotted clingfish,124,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,null,N.E.,2015-2
Fis-24540,null,3318,Diplectrum,bivittatum,Dwarf sand perch,210,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,null,N.E.,2015-2
Fis-35774,null,14230,Diplectrum,eumelum,Orange-spotted sand perch,61,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,183398,LC,2015-2
Fis-35775,null,14231,Diplectrum,euryplectrum,Bighead sand perch,79,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,183304,LC,2015-2
Fis-23474,1,1203,Diplectrum,formosum,Sand perch,293,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,null,N.E.,2015-2
Fis-35776,null,14232,Diplectrum,labarum,Highfin sand perch,71,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,183230,LC,2015-2
Fis-29093,null,14244,Diplectrum,macropoma,Mexican sand perch,81,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,183590,LC,2015-2
Fis-35783,null,14248,Diplectrum,pacificum,Inshore sand perch,106,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,183206,LC,2015-2
Fis-26493,null,7330,Diplectrum,radiale,Pond perch,128,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,null,N.E.,2015-2
Fis-35778,null,14234,Diplectrum,rostrum,Bridled sand perch,33,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,183809,LC,2015-2
Fis-62913,null,14250,Diplectrum,sciurus,Gulf squirrelfish,31,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,183361,LC,2015-2
Fis-27132,null,8723,Diplobatis,ommata,Ocellated electric ray,56,Animalia,Chordata,Elasmobranchii,Torpediniformes,Narcinidae,61403,VU,2015-2
Fis-63252,null,27776,Diplobatis,pictus,Painted electric ray,77,Animalia,Chordata,Elasmobranchii,Torpediniformes,Narcinidae,61404,VU,2015-2
Fis-23475,null,1752,Diplodus,annularis,Annular seabream,155,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-24541,null,3574,Diplodus,argenteus argenteus,South American silver porgy,18,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-23476,null,1230,Diplodus,argenteus caudimacula,Silver porgy,29,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-26835,null,8062,Diplodus,bellottii,Senegal seabream,13,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-51713,null,2497,Diplodus,cervinus,Zebra seabream,93,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-16392,null,1231,Diplodus,holbrookii,Spottail seabream,55,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-26858,null,8112,Diplodus,noct,Red Sea seabream,20,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-23478,null,1749,Diplodus,puntazzo,Sharpsnout seabream,68,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-26859,null,8113,Diplodus,sargus kotschyi,One spot seabream,10,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-23479,1,1753,Diplodus,sargus sargus,White seabream,125,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-23480,null,1754,Diplodus,vulgaris,Common two-banded seabream,156,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-28973,null,13764,Diplogrammus,goramensis,Goram dragonet,80,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,null,N.E.,2015-2
Fis-50637,null,17029,Diplogrammus,infulatus,Sawspine dragonet,17,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,null,N.E.,2015-2
Fis-24476,null,3825,Diplogrammus,pauciradiatus,Spotted dragonet,80,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,null,N.E.,2015-2
Fis-58868,null,25837,Diplogrammus,xenicus,Japanese fold dragonet,18,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,null,N.E.,2015-2
Fis-50042,null,16709,Diplophos,rebainsi,Rebains' portholefish,54,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,null,N.E.,2015-2
Fis-31891,1,6603,Diploprion,bifasciatum,Barred soapfish,149,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,null,N.E.,2015-2
Fis-32839,null,8460,Diplospinus,multistriatus,Striped escolar,569,Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,null,N.E.,2015-2
Fis-25463,1,5108,Diproctacanthus,xanthurus,Yellowtail tubelip,35,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,187517,LC,2015-2
Fis-23111,1,928,Dipterygonotus,balteatus,Mottled fusilier,142,Animalia,Chordata,Actinopterygii,Perciformes,Caesionidae,null,N.E.,2015-2
Fis-161155,null,63930,Dipturus,acrobelus,Deepwater skate,27,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,195444,LC,2015-2
Fis-161158,null,63931,Dipturus,apricus,Pale tropical skate,17,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,195445,LC,2015-2
Fis-160853,1,15413,Dipturus,australis,Sydney skate,17,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161637,VU,2015-2
Fis-131824,1,2058,Dipturus,batis,Blue skate,321,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,39397,CR,2015-2
Fis-131825,null,7604,Dipturus,bullisi,Bullis skate,36,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161427,DD,2015-2
Fis-161202,null,63962,Dipturus,canutus,Grey skate,27,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,null,N.E.,2015-2
Fis-160851,null,24076,Dipturus,cerva,White-spotted skate,47,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161329,NT,2015-2
Fis-161209,null,63963,Dipturus,confusus,null,21,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,null,N.E.,2015-2
Fis-131831,1,5012,Dipturus,doutrei,Violet skate,126,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161601,DD,2015-2
Fis-161213,null,63965,Dipturus,falloargus,False Argus skate,10,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,195447,DD,2015-2
Fis-131832,null,51859,Dipturus,garricki,San Blas skate,10,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161565,DD,2015-2
Fis-161216,null,63966,Dipturus,grahami,Graham’s skate,11,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,195448,LC,2015-2
Fis-132520,null,24079,Dipturus,gudgeri,Greenback skate,37,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161535,NT,2015-2
Fis-161159,null,63932,Dipturus,healdi,Heald’s skate,12,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,195449,DD,2015-2
Fis-131849,1,13145,Dipturus,innominatus,New Zealand smooth skate,222,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,41799,NT,2015-2
Fis-132519,null,54036,Dipturus,kwangtungensis,Kwangtung skate,24,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161400,DD,2015-2
Fis-131835,1,2561,Dipturus,laevis,Barndoor skate,164,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,39771,EN,2015-2
Fis-131999,null,54117,Dipturus,leptocauda,Thintail skate,11,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,44644,DD,2015-2
Fis-132537,null,8900,Dipturus,nidarosiensis,Norwegian skate,17,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161729,NT,2015-2
Fis-131839,null,2563,Dipturus,olseni,Spreadfin skate,57,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161718,DD,2015-2
Fis-131842,null,7616,Dipturus,oxyrinchus,Longnosed skate,205,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,63100,NT,2015-2
Fis-153999,null,15419,Dipturus,polyommata,Argus skate,11,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,202053,LC,2015-2
Fis-131829,null,7960,Dipturus,pullopunctatus,Slime skate,73,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,44609,LC,2015-2
Fis-131843,null,7962,Dipturus,springeri,Roughbelly skate,45,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161653,DD,2015-2
Fis-131846,null,7607,Dipturus,teevani,Prickly brown ray,67,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161610,DD,2015-2
Fis-132521,null,15415,Dipturus,tengu,Acutenose skate,18,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161354,DD,2015-2
Fis-131848,1,50858,Dipturus,trachyderma,Ray,33,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,63116,VU,2015-2
Fis-161221,null,63969,Dipturus,wengi,Weng’s skate,12,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,195453,LC,2015-2
Fis-160854,1,24086,Dipturus,whitleyi,Wedgenose skate,30,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,161496,VU,2015-2
Fis-56766,null,24964,Dipulus,caecus,Orange eelpout,13,Animalia,Chordata,Actinopterygii,Ophidiiformes,Bythitidae,null,N.E.,2015-2
Fis-158865,null,63251,Dipulus,hutchinsi,Hutchin's mudbrotula,10,Animalia,Chordata,Actinopterygii,Ophidiiformes,Bythitidae,null,N.E.,2015-2
Fis-27276,null,9057,Diretmichthys,parini,Parin's spinyfish,178,Animalia,Chordata,Actinopterygii,Beryciformes,Diretmidae,null,N.E.,2015-2
Fis-27275,null,9056,Diretmoides,pauciradiatus,Longwing spinyfin,164,Animalia,Chordata,Actinopterygii,Beryciformes,Diretmidae,null,N.E.,2015-2
Fis-47804,null,15708,Diretmoides,veriginae,null,12,Animalia,Chordata,Actinopterygii,Beryciformes,Diretmidae,null,N.E.,2015-2
Fis-31164,null,4958,Diretmus,argenteus,Silver spinyfin,522,Animalia,Chordata,Actinopterygii,Beryciformes,Diretmidae,null,N.E.,2015-2
Fis-26184,null,6553,Dischistodus,chrysopoecilus,White-spot damsel,46,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-27589,null,9982,Dischistodus,fasciatus,Banded damsel,52,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-25778,null,5703,Dischistodus,melanotus,Black-vent damsel,76,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-25779,1,5704,Dischistodus,perspicillatus,White damsel,95,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-26218,null,6608,Dischistodus,prosopotaenia,Honey-head damsel,104,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-26919,1,8242,Dischistodus,pseudochrysopoecilus,Monarch damsel,41,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-32809,null,8396,Discopyge,tschudii,Apron ray,130,Animalia,Chordata,Elasmobranchii,Torpediniformes,Narcinidae,44993,NT,2015-2
Fis-32247,null,7212,Discordipinna,griessingeri,Spikefin goby,42,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-160828,null,7494,Discotrema,crinophilum,Crinoid clingfish,42,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,null,N.E.,2015-2
Fis-29365,1,467,Dissostichus,eleginoides,Patagonian toothfish,247,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,null,N.E.,2015-2
Fis-32146,1,7039,Dissostichus,mawsoni,Antarctic toothfish,58,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,null,N.E.,2015-2
Fis-27269,null,9042,Ditropichthys,storeri,null,76,Animalia,Chordata,Actinopterygii,Cetomimiformes,Cetomimidae,null,N.E.,2015-2
Fis-25209,null,4599,Doederleinia,berycoides,Blackthroat seaperch,36,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae,null,N.E.,2015-2
Fis-139727,null,9168,Dolicholagus,longirostris,Longsnout blacksmelt,249,Animalia,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,null,N.E.,2015-2
Fis-164211,null,9120,Dolichopteroides,binocularis,null,26,Animalia,Chordata,Actinopterygii,Osmeriformes,Opisthoproctidae,null,N.E.,2015-2
Fis-27304,null,9121,Dolichopteryx,longipes,Brownsnout spookfish,27,Animalia,Chordata,Actinopterygii,Osmeriformes,Opisthoproctidae,null,N.E.,2015-2
Fis-149572,null,60994,Dolichopteryx,parini,Winged spookfish,13,Animalia,Chordata,Actinopterygii,Osmeriformes,Opisthoproctidae,null,N.E.,2015-2
Fis-33798,null,10168,Dolichosudis,fuliginosa,null,20,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,null,N.E.,2015-2
Fis-32161,null,7069,Dolloidraco,longedorsalis,null,86,Animalia,Chordata,Actinopterygii,Perciformes,Artedidraconidae,null,N.E.,2015-2
Fis-139531,null,57269,Dolopichthys,allector,null,12,Animalia,Chordata,Actinopterygii,Lophiiformes,Oneirodidae,null,N.E.,2015-2
Fis-50439,null,16904,Dolopichthys,danae,null,10,Animalia,Chordata,Actinopterygii,Lophiiformes,Oneirodidae,null,N.E.,2015-2
Fis-50449,null,16912,Dolopichthys,longicornis,null,27,Animalia,Chordata,Actinopterygii,Lophiiformes,Oneirodidae,null,N.E.,2015-2
Fis-50462,null,16921,Dolopichthys,pullatus,Lobed dreamer,51,Animalia,Chordata,Actinopterygii,Lophiiformes,Oneirodidae,null,N.E.,2015-2
Fis-22199,null,3658,Doratonotus,megalepis,Dwarf wrasse,64,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,187456,LC,2015-2
Fis-24542,null,3826,Dormitator,latifrons,Pacific fat sleeper,91,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,183257,LC,2015-2
Fis-27602,null,10008,Dormitator,lebretonis,null,31,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,181797,LC,2015-2
Fis-24543,null,3827,Dormitator,maculatus,Fat sleeper,150,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,null,N.E.,2015-2
Fis-23481,null,1604,Dorosoma,cepedianum,American gizzard shad,89,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,191210,LC,2015-2
Fis-23482,null,1606,Dorosoma,petenense,Threadfin shad,76,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,191211,LC,2015-2
Fis-31614,null,5969,Doryrhamphus,excisus excisus,Bluestripe pipefish,143,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,184055,LC,2015-2
Fis-25918,null,5970,Doryrhamphus,janssi,Janss' pipefish,38,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,155073,LC,2015-2
Fis-53022,null,23083,Doryrhamphus,japonicus,Honshu pipefish,18,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,null,N.E.,2015-2
Fis-150344,null,5971,Doryrhamphus,negrosensis,Negros pipefish,13,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,null,N.E.,2015-2
Fis-113731,null,46818,Dotalabrus,alleni,Little rainbow wrasse,16,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,154841,LC,2015-2
Fis-55015,null,24195,Draconetta,xenica,Highfin slope dragonet,20,Animalia,Chordata,Actinopterygii,Perciformes,Draconettidae,null,N.E.,2015-2
Fis-29366,1,455,Drepane,africana,African sicklefish,87,Animalia,Chordata,Actinopterygii,Perciformes,Drepaneidae,null,N.E.,2015-2
Fis-53927,null,7692,Drepane,longimana,Concertina fish,100,Animalia,Chordata,Actinopterygii,Perciformes,Drepaneidae,null,N.E.,2015-2
Fis-23112,null,454,Drepane,punctata,Spotted sicklefish,157,Animalia,Chordata,Actinopterygii,Perciformes,Drepaneidae,null,N.E.,2015-2
Fis-56981,null,25070,Drombus,globiceps,Kranji drombus,17,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,166598,LC,2015-2
Fis-149610,null,61024,Drombus,halei,Hale's drombus,15,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,154976,LC,2015-2
Fis-26812,null,8031,Drombus,key,Key goby,10,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-144708,null,59244,Drombus,ocyurus,Bluemarked drombus,21,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-27565,null,9944,Drombus,triangularis,Brown drombus,58,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-35421,null,12931,Dules,auriga,null,56,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,null,N.E.,2015-2
Fis-53099,null,5972,Dunckerocampus,dactyliophorus,Ringed pipefish,95,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,6814,DD,2015-2
Fis-57918,null,14286,Dunckerocampus,multiannulatus,Many-banded pipefish,24,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,null,N.E.,2015-2
Fis-161592,null,64209,Dunckerocampus,naia,Naia pipefish,11,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,null,N.E.,2015-2
Fis-9993,null,7723,Dunckerocampus,pessuliferus,Yellowbanded pipefish,11,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,null,N.E.,2015-2
Fis-29924,null,1453,Dussumieria,acuta,Rainbow sardine,56,Animalia,Chordata,Actinopterygii,Clupeiformes,Dussumieriidae,null,N.E.,2015-2
Fis-29925,null,1454,Dussumieria,elopsoides,Slender rainbow sardine,113,Animalia,Chordata,Actinopterygii,Clupeiformes,Dussumieriidae,null,N.E.,2015-2
Fis-50455,null,16916,Dysalotus,oligoscolus,null,16,Animalia,Chordata,Actinopterygii,Perciformes,Chiasmodontidae,null,N.E.,2015-2
Fis-29926,null,2659,Dysomma,anguillare,Shortbelly eel,98,Animalia,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,null,N.E.,2015-2
Fis-27300,null,9101,Dysomma,brevirostre,Pignosed arrowtooth eel,29,Animalia,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,null,N.E.,2015-2
Fis-63259,null,27787,Dysommina,rugosa,null,49,Animalia,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,null,N.E.,2015-2
Fis-62845,null,10182,Ebinania,costaecanariae,null,28,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Psychrolutidae,null,N.E.,2015-2
Fis-27792,null,10384,Ebosia,bleekeri,Bleeker's lionfish,29,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,null,N.E.,2015-2
Fis-23483,null,1713,Echelus,myrus,Painted eel,114,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,null,N.E.,2015-2
Fis-27291,null,9084,Echelus,pachyrhynchus,null,50,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,null,N.E.,2015-2
Fis-22182,1,2467,Echeneis,naucrates,Live sharksucker,751,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,null,N.E.,2015-2
Fis-29927,null,3543,Echeneis,neucratoides,Whitefin sharksucker,73,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,null,N.E.,2015-2
Fis-24005,null,2609,Echidna,catenata,Chain moray,88,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,null,N.E.,2015-2
Fis-53412,null,23273,Echidna,delicatula,Mottled moray,30,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,null,N.E.,2015-2
Fis-31849,null,6486,Echidna,leucotaenia,Whiteface moray,37,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,null,N.E.,2015-2
Fis-25596,null,5388,Echidna,nebulosa,Starry moray,253,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,null,N.E.,2015-2
Fis-26946,null,8287,Echidna,nocturna,Palenose moray,84,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,183375,LC,2015-2
Fis-27264,null,9031,Echidna,peli,Pebbletooth moray,24,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,null,N.E.,2015-2
Fis-25597,null,5389,Echidna,polyzona,Barred moray,137,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,null,N.E.,2015-2
Fis-34784,null,11709,Echidna,rhodochilus,Pink-lipped moray eel,10,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,null,N.E.,2015-2
Fis-31850,null,6487,Echidna,unicolor,Unicolor moray,31,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,null,N.E.,2015-2
Fis-3209,null,1364,Echiichthys,vipera,Lesser weever,301,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,null,N.E.,2015-2
Fis-23113,null,641,Echinorhinus,brucus,Bramble shark,120,Animalia,Chordata,Elasmobranchii,Squaliformes,Echinorhinidae,41801,DD,2015-2
Fis-29367,1,642,Echinorhinus,cookei,Prickly shark,75,Animalia,Chordata,Elasmobranchii,Squaliformes,Echinorhinidae,41802,NT,2015-2
Fis-32213,null,7141,Echiodon,cryomargarites,Messmate,117,Animalia,Chordata,Actinopterygii,Ophidiiformes,Carapidae,null,N.E.,2015-2
Fis-127140,null,52423,Echiodon,dawsoni,Chain pearlfish,142,Animalia,Chordata,Actinopterygii,Ophidiiformes,Carapidae,null,N.E.,2015-2
Fis-112814,null,46343,Echiodon,dentatus,null,29,Animalia,Chordata,Actinopterygii,Ophidiiformes,Carapidae,194846,LC,2015-2
Fis-62865,null,65,Echiodon,drummondii,null,106,Animalia,Chordata,Actinopterygii,Ophidiiformes,Carapidae,null,N.E.,2015-2
Fis-127137,null,52421,Echiodon,exsilium,Nocturnal pearlfish,29,Animalia,Chordata,Actinopterygii,Ophidiiformes,Carapidae,183707,LC,2015-2
