am_sid,lim,sciname,reviewed
Biv-32832,e_lim,Polymesoda erosa,null
Chn-013ca97e-46a8-4c5e-b398-8bb4f340f88b,e_lim,Lenisquilla lata,null
Chn-0e470b93-1bf9-4c28-8770-166bb5e2a8c7,e_lim,Levisquilla jurichi,null
Chn-0e9cfa5e-eab6-490e-9279-34eeeb127eb2,e_lim,Lophosquilla tiwarii,null
Chn-17d15aec-37c6-4c6a-88d2-9c350613076a,e_lim,Harpiosquilla annandalei,null
Chn-2d96ad09-2772-4579-b6d6-96420751b7ec,e_lim,Quollastria subtilis,null
Chn-2f5a48ac-ec54-40e1-9a03-ce2be006ee68,e_lim,Chorisquilla spinosissima,null
Chn-364c26b3-84d3-460d-9d53-2d3d5d4352f8,e_lim,Erugosquilla woodmasoni,null
Chn-3953473a-c9d7-4719-9fdb-dabfd375b330,e_lim,Aliaporcellana suluensis,null
Chn-3d368bae-a02b-4109-99a3-33d99b22f83d,e_lim,Uroptychodes spinimarginatus,null
Chn-4251039a-f032-49e7-b4d0-767e2a6b6326,e_lim,Lissoporcellana quadrilobata,null
Chn-4afd695c-a184-4f35-a646-3149013fa0df,e_lim,Faughnia haani,null
Chn-4bb55db1-8e3b-4bc9-abaa-a75c12d10a05,e_lim,Cloridina chlorida,null
Chn-50674f31-94c6-4080-8563-c0598269f6d2,e_lim,Oligometra serripinna,null
Chn-58fbf663-c32a-4053-b54d-872ad5bbd716,e_lim,Erugosquilla grahami,null
Chn-6929b281-e864-4382-b249-e58077762c8d,e_lim,Kempella mikado,null
Chn-6a9274ff-bb5b-4de5-a3d4-201629e153fe,e_lim,Oratosquillina gravieri,null
Chn-7654496e-c4b4-480a-8684-3d9234fa4807,e_lim,Strigopagurus boreonotus,null
Chn-7f58b835-f87e-41a2-91bb-9245ab8b9664,e_lim,Striatobalanus tenuis,null
Chn-8015f4b9-d98d-4eea-960c-ecf42e0e3eb4,e_lim,Cloridina verrucosa,null
Chn-82852781-608a-4506-a2fb-97671317e21d,e_lim,Carinosquilla carinata,null
Chn-8980a45f-d7dd-4f06-9dfb-9bb28ae994ac,e_lim,Levisquilla inermis,null
Chn-8e285e99-84b2-4d54-b966-a6e88108a5a5,e_lim,Allogalathea elegans,null
Chn-8fd42244-81ae-418b-9e7d-1a07d933db73,e_lim,Chelarctus aureus,null
Chn-8fe3ea49-27ab-42eb-a532-672122ccd637,e_lim,Sinosquilla sinica,null
Chn-91abc70c-b6ae-49a6-840b-05ea852baff4,e_lim,Comanthina schlegeli,null
Chn-96fbc6f5-e394-47b5-a61c-18bf2cd2bf54,e_lim,Squilloides leptosquilla,null
