sciname,id_no,spp_group,popn_category,iucn_subpop,spatial_source
Bathyplotes tizardi,180312,SEACUCUMBERS,DD,NA,iucn
Paelopatides gelatinosus,19743004,SEACUCUMBERS,DD,NA,iucn
Benthothuria distorta,19717334,SEACUCUMBERS,DD,NA,iucn
Benthothuria fusiformis,19717382,SEACUCUMBERS,DD,NA,iucn
Biarctus dubius,184994,LOBSTERS,DD,NA,iucn
Scyllarus dubius,184994,LOBSTERS,DD,NA,iucn
Blennius riodourensis,185131,COMBTOOTHBLENNIES,DD,NA,iucn
Blennius verryckeni,185145,COMBTOOTHBLENNIES,DD,NA,iucn
Bodianus iagonensis,187493,WRASSE,DD,NA,iucn
Bodianus tredecimspinosus,187493,WRASSE,DD,NA,iucn
Cossyphus tredecimspinosus,187493,WRASSE,DD,NA,iucn
Diastodon speciosus,187493,WRASSE,DD,NA,iucn
Labrus iagonensis,187493,WRASSE,DD,NA,iucn
Bodianus maculatus,132820,GROUPERS,DD,NA,iucn
Bodianus taeniops,132820,GROUPERS,DD,NA,iucn
Epinephelus taeniops,132820,GROUPERS,DD,NA,iucn
Serranus taeniops,132820,GROUPERS,DD,NA,iucn
Bodianus neopercularis,187445,WRASSE,DD,NA,iucn
Cossyphus oxycephalus,187804,WRASSE,DD,NA,iucn
Bodianus pacificus,187700,WRASSE,DD,NA,iucn
Decodon pacificus,187700,WRASSE,DD,NA,iucn
Verreo pacificus,187700,WRASSE,DD,NA,iucn
Bodianus solatus,187509,WRASSE,DD,NA,iucn
Bodianus tanyokidus,187374,WRASSE,DD,NA,iucn
Bohadschia atra,180355,SEACUCUMBERS,DD,NA,iucn
Bohadschia koellikeri,180216,SEACUCUMBERS,DD,NA,iucn
Bohadschia mitsioensis,180303,SEACUCUMBERS,DD,NA,iucn
Bohadschia paradoxa,180323,SEACUCUMBERS,DD,NA,iucn
Bohadschia steinitzi,180372,SEACUCUMBERS,DD,NA,iucn
Bohadschia subrubra,180511,SEACUCUMBERS,DD,NA,iucn
Bohadschia tenuissima,180274,SEACUCUMBERS,DD,NA,iucn
Boninastrea boninensis,132965,CORALS_Part1,DD,NA,iucn
Boops lineatus,170171,SEABREAMS_PORGIES,DD,NA,iucn
Box lineatus,170171,SEABREAMS_PORGIES,DD,NA,iucn
Brisbania staigeri,166868,BONEFISH_TARPONS,DD,NA,iucn
Clupea cyprinoides,166868,BONEFISH_TARPONS,DD,NA,iucn
Clupea thrissoides,166868,BONEFISH_TARPONS,DD,NA,iucn
Cyprinodon cundinga,166868,BONEFISH_TARPONS,DD,NA,iucn
Megalops curtifilis,166868,BONEFISH_TARPONS,DD,NA,iucn
Megalops filamentosus,166868,BONEFISH_TARPONS,DD,NA,iucn
Megalops indicus,166868,BONEFISH_TARPONS,DD,NA,iucn
Megalops kundinga,166868,BONEFISH_TARPONS,DD,NA,iucn
Megalops macrophthalmus,166868,BONEFISH_TARPONS,DD,NA,iucn
Megalops macropterus,166868,BONEFISH_TARPONS,DD,NA,iucn
Megalops oligolepis,166868,BONEFISH_TARPONS,DD,NA,iucn
Megalops setipinnis,166868,BONEFISH_TARPONS,DD,NA,iucn
Brownlowia argentata,178848,MANGROVES,DD,NA,iucn
Calathiscus tantillus,132861,CORALS_Part1,DD,NA,iucn
Homarinus capensis,169982,LOBSTERS,DD,NA,iucn
Homarus capensis,169982,LOBSTERS,DD,NA,iucn
Cantharus blochii,170210,SEABREAMS_PORGIES,LC,NA,iucn
Cantharus castelnau,170210,SEABREAMS_PORGIES,LC,NA,iucn
Cantharus castelnaui,170210,SEABREAMS_PORGIES,LC,NA,iucn
Caranthus blochii,170210,SEABREAMS_PORGIES,LC,NA,iucn
Pachymetopon blochii,170210,SEABREAMS_PORGIES,LC,NA,iucn
Pachymetopon canescens,170210,SEABREAMS_PORGIES,LC,NA,iucn
Canthigaster criobe,47407760,PUFFERFISH,DD,NA,iucn
Canthigaster flavoreticulata,193601,PUFFERFISH,DD,NA,iucn
Canthigaster investigatoris,193702,PUFFERFISH,DD,NA,iucn
Tropidichthys investigatoris,193702,PUFFERFISH,DD,NA,iucn
Canthigaster punctata,193780,PUFFERFISH,DD,NA,iucn
Cantoria annulata,176691,REPTILES,DD,NA,iucn
Cantoria annulata,176691,SEASNAKES,DD,NA,iucn
Cephalopholis igarasiensis,132791,GROUPERS,DD,NA,iucn
Cephalopholis swanius,132791,GROUPERS,DD,NA,iucn
Epinephelus erythraeus,132786,GROUPERS,DD,NA,iucn
Epinephelus nigripinnis,132786,GROUPERS,DD,NA,iucn
Epinephelus playfairi,132786,GROUPERS,DD,NA,iucn
Perca urodeta,132786,GROUPERS,DD,NA,iucn
Serranus erythraeus,132786,GROUPERS,DD,NA,iucn
Serranus mauritiae,132786,GROUPERS,DD,NA,iucn
Serranus nigripinnis,132786,GROUPERS,DD,NA,iucn
Cephalopholis tauvina,132758,GROUPERS,DD,NA,iucn
Epinephalus tauvina,132758,GROUPERS,DD,NA,iucn
Epinephelus chewa,132758,GROUPERS,DD,NA,iucn
Epinephelus elongatus,132758,GROUPERS,DD,NA,iucn
Epinephelus megachir,132758,GROUPERS,DD,NA,iucn
Epinephelus salmoides,132758,GROUPERS,DD,NA,iucn
Holocentrus pantherinus,132758,GROUPERS,DD,NA,iucn
Perca tauvina,132758,GROUPERS,DD,NA,iucn
Serranus jansenii,132758,GROUPERS,DD,NA,iucn
Serranus pantherinus,132758,GROUPERS,DD,NA,iucn
Cerna canina,132796,GROUPERS,DD,NA,iucn
Serranus caninus,132796,GROUPERS,DD,NA,iucn
Cerna catalonica,132762,GROUPERS,DD,NA,iucn
Cerna chrysotaenia,132762,GROUPERS,DD,NA,iucn
Epinephelus alexandrinus,132762,GROUPERS,DD,NA,iucn
Epinephelus chrysotaenia,132762,GROUPERS,DD,NA,iucn
Epinephelus zaslavskii,132762,GROUPERS,DD,NA,iucn
Plectropoma fasciatus,132762,GROUPERS,DD,NA,iucn
Serranus costae,132762,GROUPERS,DD,NA,iucn
Cerna sicana,132828,GROUPERS,DD,NA,iucn
Epinephelus haifensis,132828,GROUPERS,DD,NA,iucn
Holocentrus merou,132828,GROUPERS,DD,NA,iucn
Perca gigas,132828,GROUPERS,DD,NA,iucn
Chaetodon benetti,165686,BUTTERFLYFISH,DD,NA,iucn
Chaetodon binetti,165686,BUTTERFLYFISH,DD,NA,iucn
Chaetodon vinctus,165686,BUTTERFLYFISH,DD,NA,iucn
Chaetodon guezei,165644,BUTTERFLYFISH,DD,NA,iucn
Prognathodes guezei,165644,BUTTERFLYFISH,DD,NA,iucn
Chaetodon guyotensis,165645,BUTTERFLYFISH,DD,NA,iucn
Prognathodes guyotensis,165645,BUTTERFLYFISH,DD,NA,iucn
Chaetodon obliquus,4363,BUTTERFLYFISH,DD,NA,iucn
Prognathodes obliquus,4363,BUTTERFLYFISH,DD,NA,iucn
Chaetodon superbus,165713,BUTTERFLYFISH,DD,NA,iucn
Chaetodontoplus caeruleopunctatus,165894,ANGELFISH,DD,NA,iucn
Chasmodes maculipinna,183551,COMBTOOTHBLENNIES,DD,NA,iucn
Hypsoblennius maculipinna,183551,COMBTOOTHBLENNIES,DD,NA,iucn
Cheilinoides cyanopleura,187544,WRASSE,DD,NA,iucn
Cirrhilabrus cyanopleurus,187544,WRASSE,DD,NA,iucn
Cirrhilabrus heterodon,187544,WRASSE,DD,NA,iucn
Cirrhilabrus lyukyuensis,187544,WRASSE,DD,NA,iucn
Cirrhilabrus ryukyuensis,187544,WRASSE,DD,NA,iucn
Cirrilabrus cyanopleurus,187544,WRASSE,DD,NA,iucn
Cheimerus nufar,170221,SEABREAMS_PORGIES,DD,NA,iucn
Dentex albus,170221,SEABREAMS_PORGIES,DD,NA,iucn
Dentex miles,170221,SEABREAMS_PORGIES,DD,NA,iucn
Dentex nufar,170221,SEABREAMS_PORGIES,DD,NA,iucn
Chelarctus crosnieri,185078,LOBSTERS,DD,NA,iucn
Chelonodon dapsilis,193600,PUFFERFISH,DD,NA,iucn
Chitulia laboutei,176758,REPTILES,DD,NA,iucn
Chitulia laboutei,176758,SEASNAKES,DD,NA,iucn
Hydrophis laboutei,176758,REPTILES,DD,NA,iucn
Hydrophis laboutei,176758,SEASNAKES,DD,NA,iucn
Chitulia torquata,176723,REPTILES,DD,NA,iucn
Chitulia torquata,176723,SEASNAKES,DD,NA,iucn
Hydrophis torquatus,176723,REPTILES,DD,NA,iucn
Hydrophis torquatus,176723,SEASNAKES,DD,NA,iucn
Peaolopesia gymnogenys,187471,WRASSE,DD,NA,iucn
Peaolopesia matthaei,187471,WRASSE,DD,NA,iucn
Xiphochilus gymnogenys,187471,WRASSE,DD,NA,iucn
Choerodon paynei,187593,WRASSE,DD,NA,iucn
Chromis bermudae,155098,DAMSELFISH,DD,NA,iucn
Heliastes flavicauda,155098,DAMSELFISH,DD,NA,iucn
Chrysophrys nasutus,170204,SEABREAMS_PORGIES,VU,NA,iucn
Pagrus nigripinnis,170204,SEABREAMS_PORGIES,VU,NA,iucn
Cirrhilabrichthys filamentosus,187717,WRASSE,DD,NA,iucn
Cirrhilabrus filamentosus,187717,WRASSE,DD,NA,iucn
Cirrhilabrus exquistius,187461,WRASSE,DD,NA,iucn
Cirrhilabrus rhomboidalis,154868,WRASSE,DD,NA,iucn
Cirrhilabrus temminki,187636,WRASSE,DD,NA,iucn
Cirrhillabrus temminckii,187636,WRASSE,DD,NA,iucn
Clepticus africanus,187579,WRASSE,DD,NA,iucn
Conus aculeiformis,192673,CONESNAILS,DD,NA,iucn
Conus delicatus,192673,CONESNAILS,DD,NA,iucn
Conus alabaster,192375,CONESNAILS,DD,NA,iucn
Conus splendidulus,192459,CONESNAILS,DD,NA,iucn
Conus andamanensis,192360,CONESNAILS,DD,NA,iucn
Conus angioiorum,192466,CONESNAILS,DD,NA,iucn
Conus auratinus,192432,CONESNAILS,DD,NA,iucn
Conus austroviola,192617,CONESNAILS,DD,NA,iucn
Conus bellocqae,15307973,CONESNAILS,DD,NA,iucn
Conus bellulus,192717,CONESNAILS,DD,NA,iucn
Conus biancae,192257,CONESNAILS,DD,NA,iucn
Conus blanfordianus,192265,CONESNAILS,DD,NA,iucn
Conus bondarevi,192253,CONESNAILS,DD,NA,iucn
Conus bonfiglioli,192731,CONESNAILS,DD,NA,iucn
Conus broderipii,192833,CONESNAILS,DD,NA,iucn
Conus capreolus,192264,CONESNAILS,DD,NA,iucn
Conus chiapponorum,192569,CONESNAILS,DD,NA,iucn
Conus ciderryi,192800,CONESNAILS,DD,NA,iucn
Conus colmani,192777,CONESNAILS,DD,NA,iucn
Conus damasoi,192372,CONESNAILS,DD,NA,iucn
Conus danilai,192531,CONESNAILS,DD,NA,iucn
Conus deburghiae,192357,CONESNAILS,DD,NA,iucn
Conus nocturnus,192357,CONESNAILS,DD,NA,iucn
Conus dieteri,192662,CONESNAILS,DD,NA,iucn
Conus eldredi,192615,CONESNAILS,DD,NA,iucn
Conus mappa,192615,CONESNAILS,DD,NA,iucn
Conus escondidai,192491,CONESNAILS,DD,NA,iucn
Conus estivali,192414,CONESNAILS,DD,NA,iucn
Conus fragilissimus,192828,CONESNAILS,DD,NA,iucn
Conus frausseni,192292,CONESNAILS,DD,NA,iucn
Conus gabryae,192846,CONESNAILS,DD,NA,iucn
Conus giorossii,192462,CONESNAILS,DD,NA,iucn
Conus gordyi,192826,CONESNAILS,DD,NA,iucn
Conus gratacapii,192387,CONESNAILS,DD,NA,iucn
Conus habui,192376,CONESNAILS,DD,NA,iucn
Conus hamamotoi,192454,CONESNAILS,DD,NA,iucn
Conus hamanni,192652,CONESNAILS,DD,NA,iucn
Conus honkeri,192856,CONESNAILS,DD,NA,iucn
Conus ignotus,192840,CONESNAILS,DD,NA,iucn
Conus ikedai,192398,CONESNAILS,DD,NA,iucn
Conus joliveti,192496,CONESNAILS,DD,NA,iucn
Conus jourdani,192854,CONESNAILS,DD,NA,iucn
Conus kawamurai,192706,CONESNAILS,DD,NA,iucn
Conus kerstitchi,192775,CONESNAILS,DD,NA,iucn
Conus kiicumulus,192806,CONESNAILS,DD,NA,iucn
Conus kuiperi,192632,CONESNAILS,DD,NA,iucn
Conus leekremeri,192445,CONESNAILS,DD,NA,iucn
Conus lenhilli,192661,CONESNAILS,DD,NA,iucn
Conus lentiginosus,192366,CONESNAILS,DD,NA,iucn
Conus lightbourni,192404,CONESNAILS,DD,NA,iucn
Conus mcbridei,192405,CONESNAILS,DD,NA,iucn
Conus milesi,192747,CONESNAILS,DD,NA,iucn
Conus miniexcelsus,192313,CONESNAILS,DD,NA,iucn
Conus nigromaculatus,192434,CONESNAILS,DD,NA,iucn
Conus smirna,192261,CONESNAILS,DD,NA,iucn
Conus olgae,192655,CONESNAILS,DD,NA,iucn
Conus pacificus,192850,CONESNAILS,DD,NA,iucn
Conus patamakanthini,192739,CONESNAILS,DD,NA,iucn
Conus pauperculus,192483,CONESNAILS,DD,NA,iucn
Conus peli,192574,CONESNAILS,DD,NA,iucn
Conus pepeiu,192282,CONESNAILS,DD,NA,iucn
Conus pseudimperialis,192557,CONESNAILS,DD,NA,iucn
Conus pseudokimioi,192565,CONESNAILS,DD,NA,iucn
Conus pseudorbignyi,192511,CONESNAILS,DD,NA,iucn
Conus richardsae,192520,CONESNAILS,DD,NA,iucn
Conus richeri,192758,CONESNAILS,DD,NA,iucn
Conus rizali,192458,CONESNAILS,DD,NA,iucn
Conus salzmanni,192365,CONESNAILS,DD,NA,iucn
Conus sauros,192680,CONESNAILS,DD,NA,iucn
Conus scalptus,192834,CONESNAILS,DD,NA,iucn
Conus scopulicola,192309,CONESNAILS,DD,NA,iucn
Conus sculpturatus,192463,CONESNAILS,DD,NA,iucn
Conus solomonensis,192332,CONESNAILS,DD,NA,iucn
Conus swainsoni,192769,CONESNAILS,DD,NA,iucn
Conus illawarra,192832,CONESNAILS,DD,NA,iucn
Conus sydneyensis,192832,CONESNAILS,DD,NA,iucn
Conus tirardi,192690,CONESNAILS,DD,NA,iucn
Conus troendlei,192763,CONESNAILS,DD,NA,iucn
Conus tuberculosus,192672,CONESNAILS,DD,NA,iucn
Conus vaubani,192456,CONESNAILS,DD,NA,iucn
Conus wallangra,192490,CONESNAILS,DD,NA,iucn
Conus wilsi,192774,CONESNAILS,DD,NA,iucn
Conus zebra,192280,CONESNAILS,DD,NA,iucn
Cossyphus darwini,183327,WRASSE,DD,NA,iucn
Dentex maculatus,183327,WRASSE,DD,NA,iucn
Labrus aper,183327,WRASSE,DD,NA,iucn
Pimelometopon darwini,183327,WRASSE,DD,NA,iucn
Semicossyphus maculatus,183327,WRASSE,DD,NA,iucn
Crenidens macracanthus,47136863,SEABREAMS_PORGIES,DD,NA,iucn
Crenilabrus spilogaster,187433,WRASSE,DD,NA,iucn
Ctenolabrus aurigarius,187433,WRASSE,DD,NA,iucn
Ctenolabrus rubellio,187433,WRASSE,DD,NA,iucn
Duymaeria japonica,187433,WRASSE,DD,NA,iucn
Pteragogus aurigarius,187433,WRASSE,DD,NA,iucn
Cybium crookewitii,170311,TUNAS_BILLFISHES,DD,NA,iucn
Cybium guttatum,170311,TUNAS_BILLFISHES,DD,NA,iucn
Cybium interruptum,170311,TUNAS_BILLFISHES,DD,NA,iucn
Cybium kuhlii,170311,TUNAS_BILLFISHES,DD,NA,iucn
Indocybium guttatum,170311,TUNAS_BILLFISHES,DD,NA,iucn
Scomber guttatus,170311,TUNAS_BILLFISHES,DD,NA,iucn
Scomber leopardus,170311,TUNAS_BILLFISHES,DD,NA,iucn
Scomberomorus crookewiti,170311,TUNAS_BILLFISHES,DD,NA,iucn
Scomberomorus guttatum,170311,TUNAS_BILLFISHES,DD,NA,iucn
Scomberomorus interruptus,170311,TUNAS_BILLFISHES,DD,NA,iucn
Scomberomorus kuhlii,170311,TUNAS_BILLFISHES,DD,NA,iucn
Scomberomous guttatum,170311,TUNAS_BILLFISHES,DD,NA,iucn
Cybium gracile,170356,TUNAS_BILLFISHES,DD,NA,iucn
Cybium niphonium,170356,TUNAS_BILLFISHES,DD,NA,iucn
Sawara niphonia,170356,TUNAS_BILLFISHES,DD,NA,iucn
Cybium cambodgiense,170346,TUNAS_BILLFISHES,DD,NA,iucn
Scomber sinensis,170346,TUNAS_BILLFISHES,DD,NA,iucn
Decodon grandisquamis,187615,WRASSE,DD,NA,iucn
Lepidaplois grandisquamis,187615,WRASSE,DD,NA,iucn
Delphinus bairdii,6337,MARINE_MAMMALS,DD,NA,iucn
Delphinus tropicalis,6337,MARINE_MAMMALS,DD,NA,iucn
Dentex coeruleopunctatus,170215,SEABREAMS_PORGIES,DD,NA,iucn
Polysteganus caeruleopunctatus,170215,SEABREAMS_PORGIES,DD,NA,iucn
Disteira melanocephala,176762,REPTILES,DD,NA,iucn
Disteira melanocephala,176762,SEASNAKES,DD,NA,iucn
Hydrophis melanocephalus,176762,REPTILES,DD,NA,iucn
Hydrophis melanocephalus,176762,SEASNAKES,DD,NA,iucn
Leioselasma melanocephala,176762,REPTILES,DD,NA,iucn
Leioselasma melanocephala,176762,SEASNAKES,DD,NA,iucn
Disteira nigrocincta,176722,REPTILES,DD,NA,iucn
Disteira nigrocincta,176722,SEASNAKES,DD,NA,iucn
Hydrophis nigrocinctus,176722,REPTILES,DD,NA,iucn
Hydrophis nigrocinctus,176722,SEASNAKES,DD,NA,iucn
Distira annandalei,176731,REPTILES,DD,NA,iucn
Distira annandalei,176731,SEASNAKES,DD,NA,iucn
Kolpophis annandalei,176731,REPTILES,DD,NA,iucn
Kolpophis annandalei,176731,SEASNAKES,DD,NA,iucn
Lapemis annandalei,176731,REPTILES,DD,NA,iucn
Lapemis annandalei,176731,SEASNAKES,DD,NA,iucn
Distira melanosoma,176759,REPTILES,DD,NA,iucn
Distira melanosoma,176759,SEASNAKES,DD,NA,iucn
Hydrophis melanosoma,176759,REPTILES,DD,NA,iucn
Hydrophis melanosoma,176759,SEASNAKES,DD,NA,iucn
Distira mertoni,176772,REPTILES,DD,NA,iucn
Distira mertoni,176772,SEASNAKES,DD,NA,iucn
Parahydrophis mertoni,176772,REPTILES,DD,NA,iucn
Parahydrophis mertoni,176772,SEASNAKES,DD,NA,iucn
Echinophyllia pectinata,133154,CORALS_Part3,DD,NA,iucn
Echinopora grandicula,133487,CORALS_Part1,DD,NA,iucn
Echinopora irregularis,133052,CORALS_Part3,DD,NA,iucn
Echinopora tiranensis,133336,CORALS_Part1,DD,NA,iucn
Scyllarus lewinsohni,184995,LOBSTERS,DD,NA,iucn
Eduarctus marginatus,185006,LOBSTERS,DD,NA,iucn
Eduarctus perspicillatus,185028,LOBSTERS,DD,NA,iucn
Elops smithi,194309,BONEFISH_TARPONS,DD,NA,iucn
Enhydrina zweifeli,176716,REPTILES,DD,NA,iucn
Enhydrina zweifeli,176716,SEASNAKES,DD,NA,iucn
Enhydris bennettii,176683,REPTILES,DD,NA,iucn
Enhydris bennettii,176683,SEASNAKES,DD,NA,iucn
Hypsirhina bennettii,176683,REPTILES,DD,NA,iucn
Hypsirhina bennettii,176683,SEASNAKES,DD,NA,iucn
Hypsirhina maculata,176683,REPTILES,DD,NA,iucn
Hypsirhina maculata,176683,SEASNAKES,DD,NA,iucn
Enigmopora darveliensis,132912,CORALS_Part3,DD,NA,iucn
Enoplometopus callistus,185030,LOBSTERS,DD,NA,iucn
Enoplometopus chacei,185011,LOBSTERS,DD,NA,iucn
Enoplometopus daumi,184985,LOBSTERS,DD,NA,iucn
Enoplometopus debelius,184998,LOBSTERS,DD,NA,iucn
Hoplometopus holthuisi,185024,LOBSTERS,DD,NA,iucn
Enoplometopus macrodontus,185047,LOBSTERS,DD,NA,iucn
Enoplometopus pictus,185053,LOBSTERS,DD,NA,iucn
Enoplometopus voigtmanni,185052,LOBSTERS,DD,NA,iucn
Eostichopus arnesoni,180225,SEACUCUMBERS,DD,NA,iucn
Ephinephelus sexfasciatus,132780,GROUPERS,DD,NA,iucn
Epinephelus sexfaciatus,132780,GROUPERS,DD,NA,iucn
Serranus sexfasciatus,132780,GROUPERS,DD,NA,iucn
Serranus amblycephalus,132812,GROUPERS,DD,NA,iucn
Epinephelus australis,132792,GROUPERS,DD,NA,iucn
Epinephelus polystigma,132792,GROUPERS,DD,NA,iucn
Epinephelus rahanus,132792,GROUPERS,DD,NA,iucn
Serranus australis,132792,GROUPERS,DD,NA,iucn
Serranus polystigma,132792,GROUPERS,DD,NA,iucn
Serranus bontoides,132813,GROUPERS,DD,NA,iucn
Serranus chabaudi,195291,GROUPERS,DD,NA,iucn
Epinephelus chlorocephalus,64397,GROUPERS,DD,NA,iucn
Serranus chlorocephalus,64397,GROUPERS,DD,NA,iucn
Epinephelus compressus,132772,GROUPERS,DD,NA,iucn
Epinephelus octofasciatus,132772,GROUPERS,DD,NA,iucn
Serranus altivelioides,132763,GROUPERS,DD,NA,iucn
Serranus corallicola,132763,GROUPERS,DD,NA,iucn
Epinephelus darwinensis,64399,GROUPERS,DD,NA,iucn
Hyporthodus darwinensis,64399,GROUPERS,DD,NA,iucn
Epinephelus epistictus,132824,GROUPERS,DD,NA,iucn
Epinephelus praeopercularis,132824,GROUPERS,DD,NA,iucn
Serranus epistictus,132824,GROUPERS,DD,NA,iucn
Serranus praeopercularis,132824,GROUPERS,DD,NA,iucn
Epinephelus townsendi,132785,GROUPERS,DD,NA,iucn
Epinephelus exsul,7855,GROUPERS,DD,NA,iucn
Hyporthodus exsul,7855,GROUPERS,DD,NA,iucn
Serrihastaperca exsul,7855,GROUPERS,DD,NA,iucn
Serranus fasciatomaculosus,132769,GROUPERS,DD,NA,iucn
Serranus bontoo,132760,GROUPERS,DD,NA,iucn
Serranus faveatus,132760,GROUPERS,DD,NA,iucn
Epinephelus grammicus,132735,GROUPERS,DD,NA,iucn
Priacanthichthys maderaspatensis,132735,GROUPERS,DD,NA,iucn
Serranus grammicus,132735,GROUPERS,DD,NA,iucn
Serranus latifasciatus,132735,GROUPERS,DD,NA,iucn
Epinephelus hata,132798,GROUPERS,DD,NA,iucn
Epinephelus indistinctus,64402,GROUPERS,DD,NA,iucn
Epinephelus mauritianus,132794,GROUPERS,DD,NA,iucn
Epinephelus truncatus,132794,GROUPERS,DD,NA,iucn
Serranus retouti,132794,GROUPERS,DD,NA,iucn
Epinephelus niphobles,132734,GROUPERS,DD,NA,iucn
Epinephelus niveatus,132734,GROUPERS,DD,NA,iucn
Epinephelus perplexus,64404,GROUPERS,DD,NA,iucn
Hyporthodus perplexus,64404,GROUPERS,DD,NA,iucn
Epinephelus posteli,132797,GROUPERS,DD,NA,iucn
Epinephelus quinquefasciatus,195292,GROUPERS,DD,NA,iucn
Serranus quinquefasciatus,195292,GROUPERS,DD,NA,iucn
Serranus stoliczkae,132793,GROUPERS,DD,NA,iucn
Epinephelus suborbitalis,64405,GROUPERS,DD,NA,iucn
Perca summana,132728,GROUPERS,DD,NA,iucn
Sebastes meleagris,132728,GROUPERS,DD,NA,iucn
Serranus leucostigma,132728,GROUPERS,DD,NA,iucn
Epinephelus trophis,132768,GROUPERS,DD,NA,iucn
Epinephelus undulotostriatus,64408,GROUPERS,DD,NA,iucn
Serranus guttulatus,64408,GROUPERS,DD,NA,iucn
Serranus undulatostriatus,64408,GROUPERS,DD,NA,iucn
Eunephrops luckhursti,185068,LOBSTERS,DD,NA,iucn
Excoecaria indica,178836,MANGROVES,DD,NA,iucn
Fistularia impatiens,180512,SEACUCUMBERS,DD,NA,iucn
Holothuria truncata,180512,SEACUCUMBERS,DD,NA,iucn
Frontilabrus caeruleus,187676,WRASSE,DD,NA,iucn
Scyllarus umbilicatus,184988,LOBSTERS,DD,NA,iucn
Globicephala leucosagmaphora,9250,MARINE_MAMMALS,DD,NA,iucn_parent
Globicephala melaena,9250,MARINE_MAMMALS,DD,NA,iucn_parent
Halichoeres irideus,187732,WRASSE,DD,NA,iucn
Julis principis,187732,WRASSE,DD,NA,iucn
Labrus brasiliensis,187732,WRASSE,DD,NA,iucn
Halichoeres melas,155033,WRASSE,DD,NA,iucn
Halichoeres pelicieri,187616,WRASSE,DD,NA,iucn
Halichoeres raisneri,187531,WRASSE,DD,NA,iucn
Halichoeres rubricephalus,187695,WRASSE,DD,NA,iucn
Holothuria parva,180448,SEACUCUMBERS,DD,NA,iucn
Holothuria pulla,180268,SEACUCUMBERS,DD,NA,iucn
Halodule beaudettei,173329,SEAGRASSES,DD,NA,iucn
Halodule bermudensis,173374,SEAGRASSES,DD,NA,iucn
Halodule ciliata,173334,SEAGRASSES,DD,NA,iucn
Halodule emarginata,173347,SEAGRASSES,DD,NA,iucn
Halophila euphlebia,173325,SEAGRASSES,DD,NA,iucn
Halophila sulawesii,173326,SEAGRASSES,DD,NA,iucn
Haptogenys bipunctata,48342409,COMBTOOTHBLENNIES,DD,NA,iucn
Haptogenys quadripora,48342409,COMBTOOTHBLENNIES,DD,NA,iucn
Petroscirtes bipunctatus,48342409,COMBTOOTHBLENNIES,DD,NA,iucn
Histiophorus brevirostris,170312,TUNAS_BILLFISHES,DD,NA,iucn
Istiompax australis,170312,TUNAS_BILLFISHES,DD,NA,iucn
Istiompax brevirostris,170312,TUNAS_BILLFISHES,DD,NA,iucn
Istiompax dombraini,170312,TUNAS_BILLFISHES,DD,NA,iucn
Istiompax indicus,170312,TUNAS_BILLFISHES,DD,NA,iucn
Istiompax marlina,170312,TUNAS_BILLFISHES,DD,NA,iucn
Makaira brevirostris,170312,TUNAS_BILLFISHES,DD,NA,iucn
Makaira herscheri,170312,TUNAS_BILLFISHES,DD,NA,iucn
Makaira indica,170312,TUNAS_BILLFISHES,DD,NA,iucn
Makaira indicus,170312,TUNAS_BILLFISHES,DD,NA,iucn
Makaira marlina,170312,TUNAS_BILLFISHES,DD,NA,iucn
Makaira xantholineata,170312,TUNAS_BILLFISHES,DD,NA,iucn
Marlina marlina,170312,TUNAS_BILLFISHES,DD,NA,iucn
Tetrapturus australis,170312,TUNAS_BILLFISHES,DD,NA,iucn
Tetrapturus brevirostris,170312,TUNAS_BILLFISHES,DD,NA,iucn
Tetrapturus indicus,170312,TUNAS_BILLFISHES,DD,NA,iucn
Phoca fasciata,41670,MARINE_MAMMALS,DD,NA,iucn
Holothuria aculeata,180547,SEACUCUMBERS,DD,NA,iucn
Holothuria aemula,19708759,SEACUCUMBERS,DD,NA,iucn
Holothuria albifasciatus,19708766,SEACUCUMBERS,DD,NA,iucn
Holothuria albiventer,180439,SEACUCUMBERS,DD,NA,iucn
Holothuria albofusca,180370,SEACUCUMBERS,DD,NA,iucn
Holothuria altaturricula,19708770,SEACUCUMBERS,DD,NA,iucn
Holothuria samoana,180328,SEACUCUMBERS,DD,NA,iucn
Holothuria annulifera,180296,SEACUCUMBERS,DD,NA,iucn
Holothuria aphanes,180389,SEACUCUMBERS,DD,NA,iucn
Holothuria arguinensis,180393,SEACUCUMBERS,DD,NA,iucn
Holothuria asperita,180435,SEACUCUMBERS,DD,NA,iucn
Holothuria bacilla,180428,SEACUCUMBERS,DD,NA,iucn
Holothuria brauni,180343,SEACUCUMBERS,DD,NA,iucn
Holothuria cadelli,19708816,SEACUCUMBERS,DD,NA,iucn
Holothuria caparti,180212,SEACUCUMBERS,DD,NA,iucn
Holothuria casoae,19708918,SEACUCUMBERS,DD,NA,iucn
Holothuria cavans,180264,SEACUCUMBERS,DD,NA,iucn
Holothuria chilensis,180394,SEACUCUMBERS,DD,NA,iucn
Holothuria conica,180410,SEACUCUMBERS,DD,NA,iucn
Holothuria conusalba,180407,SEACUCUMBERS,DD,NA,iucn
Holothuria crosnieri,180272,SEACUCUMBERS,DD,NA,iucn
Holothuria cumulus,180453,SEACUCUMBERS,DD,NA,iucn
Holothuria dicorona,180383,SEACUCUMBERS,DD,NA,iucn
Holothuria discrepans,180500,SEACUCUMBERS,DD,NA,iucn
